,category,type,id,question
59,carrot,nonvisual,4,Is it a root?
60,carrot,visual,1,Is it orange?
61,carrot,visual,2,Does it have a top?
62,carrot,visual,3,Is it long?
63,carrot,visual,4,Does it have a pointed end?
64,chair,nonvisual,1,Is it used for sitting on?
65,chair,nonvisual,2,Is it furniture?
66,chair,nonvisual,3,Is it comfortable?
67,chair,nonvisual,4,Is it used for relaxing?
68,chair,nonvisual,5,Is it found at tables?
69,chair,visual,1,Does it have legs?
70,chair,visual,2,Is it made of wood?
71,chair,visual,3,Does it have armrests?
72,chair,visual,4,Does it have a seat?
73,chair,visual,5,Does it have a cushion?
74,chicken,nonvisual,1,Does it lay eggs?
75,chicken,nonvisual,2,Does it live on a farm?
76,chicken,nonvisual,3,Does it eat grain?
77,chicken,nonvisual,4,Is it eaten by frying?
78,chicken,nonvisual,5,Does it live in a coop?
79,chicken,visual,1,Does it have feathers?
80,chicken,visual,2,Does it have wings?
81,chicken,visual,3,Does it have a beak?
82,chicken,visual,4,Does it have legs?
83,deer,nonvisual,1,Is it hunted by people?
84,deer,nonvisual,2,Is it fast?
85,deer,nonvisual,3,Is it a mammal?
86,deer,nonvisual,4,Is it an herbivore?
87,deer,nonvisual,5,Is it timid?
88,deer,visual,1,Does it have antlers?
89,deer,visual,2,Does it have four legs?
90,deer,visual,3,Does it have eyes?
91,deer,visual,4,Does it have hooves?
92,deer,visual,5,Does it have a white tail?
93,dog,nonvisual,1,Does it bark?
94,dog,nonvisual,2,Is it an animal?
95,dog,nonvisual,3,Is it a pet?
96,dog,nonvisual,4,Is it used for protection?
97,dog,nonvisual,5,Does it chase cats?
98,dog,visual,1,Does it have four legs?
99,dog,visual,2,Does it have legs?
100,dog,visual,3,Does it have a tail?
101,dog,visual,4,Does it have hair?
102,dog,visual,5,Does it have a nose?
103,donkey,nonvisual,1,Is it an animal?
104,donkey,nonvisual,2,Is it like a horse?
105,donkey,nonvisual,3,Is it a mammal?
106,donkey,nonvisual,4,Is it furry?
107,donkey,nonvisual,5,Does it make noises?
108,donkey,visual,1,Does it have legs?
109,donkey,visual,2,Does it have four legs?
110,donkey,visual,3,Does it have a tail?
111,donkey,visual,4,Does it have hooves?
112,elephant,nonvisual,1,Is it an animal?
113,elephant,nonvisual,2,Does it live in Africa?
114,elephant,nonvisual,3,Does it live in zoos?
115,elephant,nonvisual,4,Is it used in circuses?
116,elephant,nonvisual,5,Does it eat peanuts?
117,elephant,visual,1,Is it grey?
118,elephant,visual,2,Does it have ears?
119,elephant,visual,3,Does it have four legs?
120,elephant,visual,4,Does it have a tail?
121,elephant,visual,5,Does it have large ears?
122,giraffe,nonvisual,1,Does it eat leaves?
123,giraffe,nonvisual,2,Does it live in Africa?
124,giraffe,nonvisual,3,Does it live in zoos?
125,giraffe,nonvisual,4,Is it a mammal?
126,giraffe,visual,1,Does it have spots?
127,giraffe,visual,2,Is it tall?
128,giraffe,visual,3,Does it have long legs?
129,giraffe,visual,4,Is it brown?
130,grasshopper,nonvisual,1,Is it an insect?
131,grasshopper,nonvisual,2,Does it live in grass?
132,grasshopper,nonvisual,3,Is it found in summer?
133,grasshopper,nonvisual,4,Does it fly?
134,grasshopper,visual,1,Is it green?
135,grasshopper,visual,2,Does it have legs?
136,grasshopper,visual,3,Does it have long legs?
137,grasshopper,visual,4,Does it have antennae?
138,jacket,nonvisual,1,Is it clothing?
139,jacket,nonvisual,2,Is it worn in cold temperatures?
140,jacket,nonvisual,3,Is it worn in winter?
141,jacket,nonvisual,4,Is it worn for the rain?
142,jacket,visual,1,Does it have a zipper?
143,jacket,visual,2,Does it have pockets?
144,jacket,visual,3,Does it have a hood?
145,jacket,visual,4,Does it have sleeves?
146,lion,nonvisual,1,Is it an animal?
147,lion,nonvisual,2,Is it a carnivore?
148,lion,nonvisual,3,Is it a mammal?
149,lion,nonvisual,4,Does it live in jungles?
150,lion,nonvisual,5,Does it roar?
151,lion,visual,1,Does it have a mane?
152,lion,visual,2,Does it have fur?
153,lion,visual,3,Does it have a tail?
154,lion,visual,4,Does it have teeth?
155,mouse,nonvisual,1,Is it a rodent?
156,mouse,nonvisual,2,Is it an animal?
157,mouse,nonvisual,3,Does it eat?
158,mouse,nonvisual,4,Is it used in experiments?
159,mouse,nonvisual,5,Does it eat cheese?
160,mouse,visual,1,Does it have a tail?
161,mouse,visual,2,Is it grey?
162,mouse,visual,3,Does it have fur?
163,mouse,visual,4,Does it have whiskers?
164,penguin,nonvisual,1,Is it a bird?
165,penguin,nonvisual,2,Is it unable to fly?
166,penguin,nonvisual,3,Does it live in the Arctic?
167,penguin,nonvisual,4,Does it lay eggs?
168,penguin,nonvisual,5,Does it waddle?
169,penguin,visual,1,Is it black?
170,penguin,visual,2,Does it have a beak?
171,penguin,visual,3,Does it have feet?
172,penguin,visual,4,Does it have wings?
173,pig,nonvisual,1,Is it an animal?
174,pig,nonvisual,2,Does it live on farms?
175,pig,nonvisual,3,Is it eaten as bacon?
176,pig,nonvisual,4,Is it smelly?
177,pig,nonvisual,5,Does it like mud?
178,pig,visual,1,Is it pink?
179,pig,visual,2,Does it have a tail?
180,pig,visual,3,Does it have a snout?
181,pig,visual,4,Does it have legs?
182,pig,visual,5,Is it muddy?
183,pineapple,nonvisual,1,Is it juicy?
184,pineapple,nonvisual,2,Is it tropical?
185,pineapple,nonvisual,3,Does it grow on trees?
186,pineapple,nonvisual,4,Does it grow in Hawaii?
187,pineapple,nonvisual,5,Is it prickly?
188,pineapple,visual,1,Is it yellow?
189,pineapple,visual,2,Does it have an inside?
190,pineapple,visual,3,Does it have skin?
191,pineapple,visual,4,Is it yellow inside?
192,pineapple,visual,5,Does it have a core?
193,rabbit,nonvisual,1,Does it hop?
194,rabbit,nonvisual,2,Is it a pet?
195,rabbit,nonvisual,3,Is it edible?
196,rabbit,nonvisual,4,Is it hunted by people?
197,rabbit,nonvisual,5,Does it eat carrots?
198,rabbit,visual,1,Does it have ears?
199,rabbit,visual,2,Does it have feet?
200,rabbit,visual,3,Does it have whiskers?
201,rabbit,visual,4,Does it have a tail?
202,raccoon,nonvisual,1,Does it eat garbage?
203,raccoon,nonvisual,2,Is it furry?
204,raccoon,nonvisual,3,Is it nocturnal?
205,raccoon,nonvisual,4,Does it produce offspring?
206,raccoon,visual,1,Is it black?
207,raccoon,visual,2,Does it have a tail?
208,raccoon,visual,3,Does it have eyes?
209,raccoon,visual,4,Does it have stripes?
210,raccoon,visual,5,Does it have a mask?
211,strawberry,nonvisual,1,Is it a fruit?
212,strawberry,nonvisual,2,Does it taste sweet?
213,strawberry,nonvisual,3,Is it used for making jam?
214,strawberry,nonvisual,4,Does it taste good?
215,strawberry,visual,1,Is it red?
216,strawberry,visual,2,Does it have seeds?
217,strawberry,visual,3,Does it have green leaves?
218,strawberry,visual,4,Is it small?
219,swan,nonvisual,1,Is it graceful?
220,swan,nonvisual,2,Is it a bird?
221,swan,nonvisual,3,Does it live on water?
222,swan,nonvisual,4,Does it lay eggs?
223,swan,visual,1,Does it have a long neck?
224,swan,visual,2,Does it have a beak?
225,swan,visual,3,Does it have feathers?
226,swan,visual,4,Does it have wings?
227,table,nonvisual,1,Is it used for eating on?
228,table,nonvisual,2,Is it found in kitchens?
229,table,nonvisual,3,Is it found in dining rooms?
230,table,nonvisual,4,Is it furniture?
231,table,visual,1,Is it made of wood?
232,table,visual,2,Is it round?
233,table,visual,3,Does it have legs?
234,table,visual,4,Is it flat?
235,tiger,nonvisual,1,Is it a carnivore?
236,tiger,nonvisual,2,Is it an animal?
237,tiger,nonvisual,3,Does it live in Africa?
238,tiger,nonvisual,4,Does it live in zoos?
239,tiger,nonvisual,5,Does it live in India?
240,tiger,visual,1,Does it have stripes?
241,tiger,visual,2,Does it have teeth?
242,tiger,visual,3,Is it orange?
243,tiger,visual,4,Does it have whiskers?
244,tiger,visual,5,Does it have large teeth?
245,toad,nonvisual,1,Does it eat?
246,toad,nonvisual,2,Does it hop?
247,toad,nonvisual,3,Is it an amphibian?
248,toad,nonvisual,4,Does it eat insects?
249,toad,visual,1,Is it green?
250,toad,visual,2,Does it have warts?
251,toad,visual,3,Is it small?
252,toad,visual,4,Does it have a long tongue?
253,train,nonvisual,1,Is it used for freight?
254,train,nonvisual,2,Is it used for transportation?
255,train,nonvisual,3,Does it require a conductor?
256,train,nonvisual,4,Is it loud?
257,train,visual,1,Does it have a caboose?
258,train,visual,2,Does it have an engine?
259,train,visual,3,Does it have many cars?
260,train,visual,4,Is it made of metal?
261,zebra,nonvisual,1,Is it an animal?
262,zebra,nonvisual,2,Does it run fast?
263,zebra,nonvisual,3,Does it live in Africa?
264,zebra,nonvisual,4,Does it travel in herds?
265,zebra,visual,1,Does it have stripes?
266,zebra,visual,2,Does it have four legs?
267,zebra,visual,3,Does it have hooves?
268,zebra,visual,4,Does it have a mane?
