"subj_id","block_ix","trial_ix","cue","cue_type","mask_type","pic","up_pic","response","rt","is_correct","cue_L","cue_Q","mask_C"
"MWP201",0,42,"noise","noise","mask","mouse","right","right",417.420881102,1,0,0.667,0.5
"MWP201",0,43,"heart","valid","nomask","heart","right","right",604.5405326,1,-0.5,-0.333,-0.5
"MWP201",0,44,"lightbulb","valid","nomask","lightbulb","left","left",328.247138241,1,-0.5,-0.333,-0.5
"MWP201",0,45,"mouse","invalid","mask","pear","right","right",574.181671982,1,0.5,-0.333,0.5
"MWP201",0,46,"mouse","valid","nomask","mouse","left","left",434.406058805,1,-0.5,-0.333,-0.5
"MWP201",0,47,"noise","noise","nomask","lightbulb","right","right",918.031700188,1,0,0.667,-0.5
"MWP201",0,48,"camel","valid","nomask","camel","right","right",401.27638384,1,-0.5,-0.333,-0.5
"MWP201",0,49,"noise","noise","nomask","tiger","left","left",412.756585953,1,0,0.667,-0.5
"MWP201",0,50,"noise","noise","mask","camel","right","right",549.113327725,1,0,0.667,0.5
"MWP201",0,51,"gorilla","valid","nomask","gorilla","left","left",428.752521344,1,-0.5,-0.333,-0.5
"MWP201",0,52,"noise","noise","nomask","mouse","left","left",439.539045037,1,0,0.667,-0.5
"MWP201",0,53,"pear","valid","mask","pear","left","right",NA,0,-0.5,-0.333,0.5
"MWP201",0,54,"tiger","valid","nomask","tiger","left","left",307.040231419,1,-0.5,-0.333,-0.5
"MWP201",0,55,"noise","noise","nomask","piano","left","left",445.383646264,1,0,0.667,-0.5
"MWP201",0,56,"chicken","valid","nomask","chicken","left","left",364.644783258,1,-0.5,-0.333,-0.5
"MWP201",0,57,"noise","noise","nomask","gorilla","right","right",431.774837984,1,0,0.667,-0.5
"MWP201",0,58,"piano","valid","nomask","piano","left","left",335.671719717,1,-0.5,-0.333,-0.5
"MWP201",0,59,"tiger","valid","mask","tiger","left","left",453.127577173,1,-0.5,-0.333,0.5
"MWP201",0,60,"noise","noise","mask","gorilla","left","left",312.832972442,1,0,0.667,0.5
"MWP201",0,61,"lightbulb","invalid","nomask","mouse","left","left",323.749341507,1,0.5,-0.333,-0.5
"MWP201",0,62,"noise","noise","nomask","deer","right","right",367.395321431,1,0,0.667,-0.5
"MWP201",0,63,"chicken","valid","nomask","chicken","right","right",430.778576992,1,-0.5,-0.333,-0.5
"MWP201",0,64,"noise","noise","nomask","camel","left","left",466.27354325,1,0,0.667,-0.5
"MWP201",0,65,"deer","valid","nomask","deer","left","left",404.734247859,1,-0.5,-0.333,-0.5
"MWP201",0,66,"piano","invalid","mask","lightbulb","right","right",427.880646748,1,0.5,-0.333,0.5
"MWP201",0,67,"noise","noise","mask","piano","left","left",399.267095054,1,0,0.667,0.5
"MWP201",0,68,"chicken","valid","mask","chicken","left","left",381.64048898,1,-0.5,-0.333,0.5
"MWP201",0,69,"piano","invalid","mask","deer","left","left",534.715309157,1,0.5,-0.333,0.5
"MWP201",0,70,"tiger","invalid","nomask","lightbulb","right","right",478.058277571,1,0.5,-0.333,-0.5
"MWP201",0,71,"heart","valid","mask","heart","left","left",437.668179948,1,-0.5,-0.333,0.5
"MWP201",0,72,"mouse","valid","nomask","mouse","right","right",382.992362516,1,-0.5,-0.333,-0.5
"MWP201",0,73,"noise","noise","nomask","piano","left","left",409.520979767,1,0,0.667,-0.5
"MWP201",0,74,"noise","noise","nomask","tiger","right","right",379.862426285,1,0,0.667,-0.5
"MWP201",0,75,"noise","noise","mask","heart","left","left",575.713301427,1,0,0.667,0.5
"MWP201",0,76,"lightbulb","valid","mask","lightbulb","right","right",438.550972496,1,-0.5,-0.333,0.5
"MWP201",0,77,"gorilla","valid","mask","gorilla","left","left",336.906615441,1,-0.5,-0.333,0.5
"MWP201",0,78,"piano","invalid","mask","camel","right","right",633.234019188,1,0.5,-0.333,0.5
"MWP201",0,79,"gorilla","invalid","nomask","pear","left","left",871.979876712,1,0.5,-0.333,-0.5
"MWP201",0,80,"pear","valid","mask","pear","right","right",585.910646885,1,-0.5,-0.333,0.5
"MWP201",0,81,"noise","noise","mask","deer","left","left",669.540421484,1,0,0.667,0.5
"MWP201",0,82,"gorilla","valid","nomask","gorilla","left","left",449.456033704,1,-0.5,-0.333,-0.5
"MWP201",0,83,"noise","noise","nomask","tiger","left","left",460.088146676,1,0,0.667,-0.5
"MWP201",0,84,"noise","noise","nomask","piano","right","right",479.022954532,1,0,0.667,-0.5
"MWP201",0,85,"noise","noise","mask","camel","left","left",386.066929263,1,0,0.667,0.5
"MWP201",0,86,"noise","noise","nomask","mouse","left","left",365.034709248,1,0,0.667,-0.5
"MWP201",0,87,"noise","noise","nomask","heart","right","right",399.89721551,1,0,0.667,-0.5
"MWP201",0,88,"noise","noise","nomask","pear","left","right",NA,0,0,0.667,-0.5
"MWP201",0,89,"chicken","valid","mask","chicken","left","left",344.902048615,1,-0.5,-0.333,0.5
"MWP201",0,90,"noise","noise","mask","lightbulb","right","right",603.454198688,1,0,0.667,0.5
"MWP201",0,91,"noise","noise","nomask","pear","left","left",470.534264925,1,0,0.667,-0.5
"MWP201",0,92,"piano","valid","nomask","piano","left","left",391.444009147,1,-0.5,-0.333,-0.5
"MWP201",0,93,"noise","noise","mask","heart","left","left",385.285907396,1,0,0.667,0.5
"MWP201",0,94,"noise","noise","mask","chicken","left","left",317.045343312,1,0,0.667,0.5
"MWP201",0,95,"heart","valid","mask","heart","right","right",478.149910195,1,-0.5,-0.333,0.5
"MWP201",0,96,"noise","noise","mask","mouse","left","left",410.569880769,1,0,0.667,0.5
"MWP201",0,97,"noise","noise","nomask","chicken","left","left",366.091018892,1,0,0.667,-0.5
"MWP201",0,98,"deer","valid","mask","deer","left","left",322.960521182,1,-0.5,-0.333,0.5
"MWP201",0,99,"piano","valid","mask","piano","right","right",529.835384921,1,-0.5,-0.333,0.5
"MWP201",0,100,"noise","noise","mask","chicken","left","left",397.161104571,1,0,0.667,0.5
"MWP201",0,101,"tiger","valid","mask","tiger","left","left",364.470876259,1,-0.5,-0.333,0.5
"MWP201",0,102,"noise","noise","mask","pear","right","right",543.375566223,1,0,0.667,0.5
"MWP201",0,103,"mouse","valid","mask","mouse","right","right",538.459378877,1,-0.5,-0.333,0.5
"MWP201",0,104,"pear","valid","mask","pear","right","left",NA,0,-0.5,-0.333,0.5
"MWP201",0,105,"piano","valid","mask","piano","left","left",372.850386571,1,-0.5,-0.333,0.5
"MWP201",0,106,"mouse","invalid","mask","tiger","right","right",669.174280949,1,0.5,-0.333,0.5
"MWP201",1,107,"tiger","valid","mask","tiger","left","left",302.810703783,1,-0.5,-0.333,0.5
"MWP201",1,108,"mouse","invalid","nomask","heart","left","left",536.27228376,1,0.5,-0.333,-0.5
"MWP201",1,109,"noise","noise","nomask","chicken","right","right",393.959811889,1,0,0.667,-0.5
"MWP201",1,110,"gorilla","invalid","mask","heart","right","right",356.654419069,1,0.5,-0.333,0.5
"MWP201",1,111,"deer","valid","mask","deer","right","right",511.975213187,1,-0.5,-0.333,0.5
"MWP201",1,112,"tiger","valid","nomask","tiger","right","right",414.156420389,1,-0.5,-0.333,-0.5
"MWP201",1,113,"pear","invalid","nomask","camel","right","right",427.542970807,1,0.5,-0.333,-0.5
"MWP201",1,114,"noise","noise","nomask","chicken","left","left",511.037051183,1,0,0.667,-0.5
"MWP201",1,115,"mouse","invalid","nomask","gorilla","right","right",424.958151212,1,0.5,-0.333,-0.5
"MWP201",1,116,"camel","valid","nomask","camel","left","left",386.86081866,1,-0.5,-0.333,-0.5
"MWP201",1,117,"gorilla","valid","mask","gorilla","right","right",644.608551316,1,-0.5,-0.333,0.5
"MWP201",1,118,"pear","valid","nomask","pear","right","left",NA,0,-0.5,-0.333,-0.5
"MWP201",1,119,"noise","noise","nomask","heart","right","right",433.171553013,1,0,0.667,-0.5
"MWP201",1,120,"piano","invalid","nomask","deer","left","left",395.021190518,1,0.5,-0.333,-0.5
"MWP201",1,121,"noise","noise","mask","camel","right","right",438.13570129,1,0,0.667,0.5
"MWP201",1,122,"noise","noise","mask","piano","left","left",481.545386021,1,0,0.667,0.5
"MWP201",1,123,"noise","noise","nomask","gorilla","left","left",348.531870026,1,0,0.667,-0.5
"MWP201",1,124,"heart","invalid","mask","tiger","left","left",398.064563167,1,0.5,-0.333,0.5
"MWP201",1,125,"mouse","valid","nomask","mouse","right","right",364.573426748,1,-0.5,-0.333,-0.5
"MWP201",1,126,"noise","noise","mask","gorilla","left","left",375.441445009,1,0,0.667,0.5
"MWP201",1,127,"noise","noise","mask","tiger","left","left",387.123628752,1,0,0.667,0.5
"MWP201",1,128,"noise","noise","mask","gorilla","right","right",430.691623478,1,0,0.667,0.5
"MWP201",1,129,"piano","valid","nomask","piano","right","right",423.3298201,1,-0.5,-0.333,-0.5
"MWP201",1,130,"noise","noise","nomask","tiger","right","right",587.097971642,1,0,0.667,-0.5
"MWP201",1,131,"noise","noise","mask","chicken","right","right",805.786034325,1,0,0.667,0.5
"MWP201",1,132,"pear","invalid","mask","piano","right","right",430.460397358,1,0.5,-0.333,0.5
"MWP201",1,133,"noise","noise","nomask","deer","left","left",425.361334695,1,0,0.667,-0.5
"MWP201",1,134,"piano","valid","mask","piano","right","right",540.273314749,1,-0.5,-0.333,0.5
"MWP201",1,135,"noise","noise","mask","deer","right","right",367.961883952,1,0,0.667,0.5
"MWP201",1,136,"noise","noise","nomask","gorilla","right","right",595.67088529,1,0,0.667,-0.5
"MWP201",1,137,"noise","noise","nomask","mouse","right","right",382.544727443,1,0,0.667,-0.5
"MWP201",1,138,"noise","noise","mask","lightbulb","right","right",698.458505416,1,0,0.667,0.5
"MWP201",1,139,"heart","invalid","nomask","chicken","left","left",363.310456392,1,0.5,-0.333,-0.5
"MWP201",1,140,"noise","noise","nomask","deer","left","left",534.603790293,1,0,0.667,-0.5
"MWP201",1,141,"mouse","valid","mask","mouse","left","left",392.40439696,1,-0.5,-0.333,0.5
"MWP201",1,142,"noise","noise","mask","heart","right","right",524.094114109,1,0,0.667,0.5
"MWP201",1,143,"mouse","valid","mask","mouse","left","left",341.545565403,1,-0.5,-0.333,0.5
"MWP201",1,144,"noise","noise","nomask","tiger","right","right",416.620362957,1,0,0.667,-0.5
"MWP201",1,145,"deer","invalid","mask","chicken","right","right",458.914859249,1,0.5,-0.333,0.5
"MWP201",1,146,"noise","noise","nomask","piano","right","right",627.656517288,1,0,0.667,-0.5
"MWP201",1,147,"noise","noise","nomask","heart","right","right",509.715201915,1,0,0.667,-0.5
"MWP201",1,148,"pear","valid","nomask","pear","left","left",322.105023457,1,-0.5,-0.333,-0.5
"MWP201",1,149,"noise","noise","nomask","deer","left","left",566.31725395,1,0,0.667,-0.5
"MWP201",1,150,"noise","noise","mask","gorilla","left","left",433.853143739,1,0,0.667,0.5
"MWP201",1,151,"deer","valid","nomask","deer","right","right",548.30813047,1,-0.5,-0.333,-0.5
"MWP201",1,152,"noise","noise","mask","chicken","right","right",584.038222092,1,0,0.667,0.5
"MWP201",1,153,"noise","noise","nomask","mouse","right","right",995.531057793,1,0,0.667,-0.5
"MWP201",1,154,"noise","noise","nomask","pear","right","left",NA,0,0,0.667,-0.5
"MWP201",1,155,"lightbulb","valid","mask","lightbulb","left","left",743.548771366,1,-0.5,-0.333,0.5
"MWP201",1,156,"gorilla","valid","mask","gorilla","right","right",669.287749421,1,-0.5,-0.333,0.5
"MWP201",1,157,"pear","valid","nomask","pear","right","right",583.526639151,1,-0.5,-0.333,-0.5
"MWP201",1,158,"noise","noise","mask","heart","right","right",752.532667015,1,0,0.667,0.5
"MWP201",1,159,"lightbulb","valid","nomask","lightbulb","left","left",495.732844545,1,-0.5,-0.333,-0.5
"MWP201",1,160,"noise","noise","mask","mouse","right","right",450.669483485,1,0,0.667,0.5
"MWP201",1,161,"gorilla","valid","nomask","gorilla","left","left",332.514098758,1,-0.5,-0.333,-0.5
"MWP201",1,162,"heart","valid","mask","heart","left","left",461.829166394,1,-0.5,-0.333,0.5
"MWP201",1,163,"tiger","valid","nomask","tiger","left","left",382.280357589,1,-0.5,-0.333,-0.5
"MWP201",1,164,"noise","noise","nomask","mouse","right","right",506.063154753,1,0,0.667,-0.5
"MWP201",1,165,"noise","noise","nomask","lightbulb","right","right",757.534248172,1,0,0.667,-0.5
"MWP201",1,166,"noise","noise","mask","deer","right","right",481.155849935,1,0,0.667,0.5
"MWP201",1,167,"piano","valid","mask","piano","left","left",491.077517683,1,-0.5,-0.333,0.5
"MWP201",1,168,"noise","noise","mask","mouse","right","right",661.312982294,1,0,0.667,0.5
"MWP201",1,169,"heart","valid","nomask","heart","right","right",463.723427034,1,-0.5,-0.333,-0.5
"MWP201",1,170,"noise","noise","nomask","tiger","left","left",387.366552692,1,0,0.667,-0.5
"MWP201",1,171,"deer","valid","nomask","deer","left","left",309.828592435,1,-0.5,-0.333,-0.5
"MWP201",1,172,"noise","noise","mask","mouse","right","right",544.609682111,1,0,0.667,0.5
"MWP201",1,173,"noise","noise","mask","deer","left","left",323.08997662,1,0,0.667,0.5
"MWP201",1,174,"lightbulb","valid","nomask","lightbulb","right","right",355.180108774,1,-0.5,-0.333,-0.5
"MWP201",1,175,"noise","noise","mask","piano","right","right",550.42425901,1,0,0.667,0.5
"MWP201",1,176,"gorilla","valid","nomask","gorilla","right","right",402.970222523,1,-0.5,-0.333,-0.5
"MWP201",1,177,"chicken","valid","mask","chicken","right","right",725.912417169,1,-0.5,-0.333,0.5
"MWP201",1,178,"noise","noise","nomask","heart","left","left",489.086945337,1,0,0.667,-0.5
"MWP201",1,179,"noise","noise","mask","pear","left","right",NA,0,0,0.667,0.5
"MWP201",1,180,"noise","noise","mask","tiger","left","left",384.818386112,1,0,0.667,0.5
"MWP201",1,181,"noise","noise","nomask","lightbulb","left","left",528.244096815,1,0,0.667,-0.5
"MWP201",1,182,"noise","noise","mask","tiger","right","right",397.363866097,1,0,0.667,0.5
"MWP201",1,183,"pear","invalid","nomask","mouse","right","right",495.285989309,1,0.5,-0.333,-0.5
"MWP201",1,184,"noise","noise","nomask","gorilla","left","left",434.700063051,1,0,0.667,-0.5
"MWP201",1,185,"noise","noise","nomask","camel","left","left",389.756019402,1,0,0.667,-0.5
"MWP201",1,186,"noise","noise","mask","piano","right","right",361.533563468,1,0,0.667,0.5
"MWP201",1,187,"chicken","valid","nomask","chicken","right","right",385.671154305,1,-0.5,-0.333,-0.5
"MWP201",1,188,"noise","noise","mask","pear","left","left",539.234551805,1,0,0.667,0.5
"MWP201",1,189,"mouse","valid","mask","mouse","right","right",503.671348502,1,-0.5,-0.333,0.5
"MWP201",1,190,"noise","noise","nomask","pear","right","right",338.535336457,1,0,0.667,-0.5
"MWP201",1,191,"noise","noise","mask","lightbulb","left","left",461.415844795,1,0,0.667,0.5
"MWP201",1,192,"pear","valid","mask","pear","right","right",529.709828726,1,-0.5,-0.333,0.5
"MWP201",1,193,"noise","noise","nomask","piano","right","right",500.844774739,1,0,0.667,-0.5
"MWP201",1,194,"chicken","valid","nomask","chicken","right","right",443.327176385,1,-0.5,-0.333,-0.5
"MWP201",1,195,"noise","noise","mask","camel","right","right",551.041901839,1,0,0.667,0.5
"MWP201",1,196,"camel","valid","mask","camel","right","right",493.353905826,1,-0.5,-0.333,0.5
"MWP201",1,197,"mouse","valid","nomask","mouse","right","right",567.653920356,1,-0.5,-0.333,-0.5
"MWP201",1,198,"noise","noise","mask","pear","left","left",641.754682729,1,0,0.667,0.5
"MWP201",1,199,"noise","noise","nomask","camel","right","right",380.829832779,1,0,0.667,-0.5
"MWP201",1,200,"heart","valid","nomask","heart","left","left",406.165276392,1,-0.5,-0.333,-0.5
"MWP201",1,201,"tiger","valid","mask","tiger","right","right",404.86994214,1,-0.5,-0.333,0.5
"MWP201",1,202,"camel","valid","nomask","camel","left","left",689.110028936,1,-0.5,-0.333,-0.5
"MWP201",1,203,"noise","noise","mask","lightbulb","left","timeout",NA,NA,0,0.667,0.5
"MWP201",1,204,"camel","valid","mask","camel","right","left",NA,0,-0.5,-0.333,0.5
"MWP201",1,205,"piano","valid","nomask","piano","right","right",382.201982458,1,-0.5,-0.333,-0.5
"MWP201",1,206,"noise","noise","mask","chicken","right","left",NA,0,0,0.667,0.5
"MWP201",1,207,"deer","valid","mask","deer","left","left",478.200600541,1,-0.5,-0.333,0.5
"MWP201",1,208,"gorilla","invalid","nomask","tiger","left","left",380.937842274,1,0.5,-0.333,-0.5
"MWP201",1,209,"deer","invalid","mask","lightbulb","left","right",NA,0,0.5,-0.333,0.5
"MWP201",1,210,"noise","noise","nomask","camel","left","left",485.245394113,1,0,0.667,-0.5
"MWP201",1,211,"chicken","valid","mask","chicken","right","right",412.639218208,1,-0.5,-0.333,0.5
"MWP201",1,212,"lightbulb","valid","mask","lightbulb","left","right",NA,0,-0.5,-0.333,0.5
"MWP201",1,213,"noise","noise","nomask","pear","right","left",NA,0,0,0.667,-0.5
"MWP201",2,214,"deer","valid","mask","deer","right","right",450.858207711,1,-0.5,-0.333,0.5
"MWP201",2,215,"noise","noise","mask","tiger","left","left",389.527912659,1,0,0.667,0.5
"MWP201",2,216,"noise","noise","nomask","camel","right","right",415.848309407,1,0,0.667,-0.5
"MWP201",2,217,"mouse","valid","nomask","mouse","left","left",369.930620451,1,-0.5,-0.333,-0.5
"MWP201",2,218,"camel","valid","nomask","camel","right","right",359.436541301,1,-0.5,-0.333,-0.5
"MWP201",2,219,"deer","invalid","nomask","piano","left","left",576.899456413,1,0.5,-0.333,-0.5
"MWP201",2,220,"noise","noise","mask","tiger","right","right",651.204539987,1,0,0.667,0.5
"MWP201",2,221,"tiger","invalid","nomask","pear","right","right",467.92254044,1,0.5,-0.333,-0.5
"MWP201",2,222,"piano","valid","nomask","piano","right","right",425.830415712,1,-0.5,-0.333,-0.5
"MWP201",2,223,"noise","noise","mask","camel","right","right",503.01237352,1,0,0.667,0.5
"MWP201",2,224,"noise","noise","mask","mouse","left","left",401.031510293,1,0,0.667,0.5
"MWP201",2,225,"piano","invalid","mask","gorilla","right","right",376.915755303,1,0.5,-0.333,0.5
"MWP201",2,226,"tiger","valid","mask","tiger","right","right",781.198078912,1,-0.5,-0.333,0.5
"MWP201",2,227,"noise","noise","mask","deer","left","left",520.669003861,1,0,0.667,0.5
"MWP201",2,228,"piano","invalid","nomask","tiger","right","right",331.232801807,1,0.5,-0.333,-0.5
"MWP201",2,229,"pear","invalid","mask","mouse","right","right",551.019676059,1,0.5,-0.333,0.5
"MWP201",2,230,"noise","noise","nomask","chicken","left","left",450.612944202,1,0,0.667,-0.5
"MWP201",2,231,"noise","noise","nomask","pear","left","left",563.08944631,1,0,0.667,-0.5
"MWP201",2,232,"noise","noise","mask","gorilla","right","right",356.202104915,1,0,0.667,0.5
"MWP201",2,233,"noise","noise","nomask","deer","right","right",375.919494312,1,0,0.667,-0.5
"MWP201",2,234,"chicken","valid","nomask","chicken","left","left",413.796128734,1,-0.5,-0.333,-0.5
"MWP201",2,235,"noise","noise","mask","heart","left","left",584.258530318,1,0,0.667,0.5
"MWP201",2,236,"piano","valid","mask","piano","right","right",371.002917032,1,-0.5,-0.333,0.5
"MWP201",2,237,"camel","valid","mask","camel","right","right",510.32660593,1,-0.5,-0.333,0.5
"MWP201",2,238,"noise","noise","mask","chicken","left","left",440.737287718,1,0,0.667,0.5
"MWP201",2,239,"gorilla","valid","nomask","gorilla","right","right",385.89848121,1,-0.5,-0.333,-0.5
"MWP201",2,240,"noise","noise","nomask","heart","left","left",398.140988691,1,0,0.667,-0.5
"MWP201",2,241,"noise","noise","mask","lightbulb","left","left",448.796668788,1,0,0.667,0.5
"MWP201",2,242,"noise","noise","nomask","chicken","right","right",362.984088279,1,0,0.667,-0.5
"MWP201",2,243,"noise","noise","mask","deer","right","right",349.268440303,1,0,0.667,0.5
"MWP201",2,244,"tiger","valid","nomask","tiger","left","left",308.410041529,1,-0.5,-0.333,-0.5
"MWP201",2,245,"gorilla","valid","mask","gorilla","left","left",469.434673549,1,-0.5,-0.333,0.5
"MWP201",2,246,"chicken","valid","mask","chicken","right","right",397.754571983,1,-0.5,-0.333,0.5
"MWP201",2,247,"noise","noise","mask","mouse","left","left",336.118574924,1,0,0.667,0.5
"MWP201",2,248,"pear","valid","mask","pear","left","right",NA,0,-0.5,-0.333,0.5
"MWP201",2,249,"camel","valid","mask","camel","left","left",319.466783956,1,-0.5,-0.333,0.5
"MWP201",2,250,"noise","noise","mask","lightbulb","right","right",554.152731696,1,0,0.667,0.5
"MWP201",2,251,"noise","noise","nomask","piano","right","right",524.661456468,1,0,0.667,-0.5
"MWP201",2,252,"lightbulb","invalid","mask","chicken","left","left",438.579826994,1,0.5,-0.333,0.5
"MWP201",2,253,"noise","noise","nomask","tiger","right","right",393.834255694,1,0,0.667,-0.5
"MWP201",2,254,"noise","noise","mask","piano","right","right",390.163882024,1,0,0.667,0.5
"MWP201",2,255,"noise","noise","mask","lightbulb","right","right",434.660680505,1,0,0.667,0.5
"MWP201",2,256,"mouse","valid","mask","mouse","left","left",444.917294721,1,-0.5,-0.333,0.5
"MWP201",2,257,"noise","noise","nomask","gorilla","right","right",312.460593093,1,0,0.667,-0.5
"MWP201",2,258,"lightbulb","invalid","nomask","heart","right","left",NA,0,0.5,-0.333,-0.5
"MWP201",2,259,"noise","noise","nomask","piano","left","left",393.656059488,1,0,0.667,-0.5
"MWP201",2,260,"noise","noise","mask","pear","right","right",923.14363044,1,0,0.667,0.5
"MWP201",2,261,"noise","noise","nomask","lightbulb","right","right",423.617585504,1,0,0.667,-0.5
"MWP201",2,262,"piano","valid","mask","piano","left","left",590.554275957,1,-0.5,-0.333,0.5
"MWP201",2,263,"tiger","valid","mask","tiger","right","right",620.839830488,1,-0.5,-0.333,0.5
"MWP201",2,264,"noise","noise","mask","pear","right","right",847.143538413,1,0,0.667,0.5
"MWP201",2,265,"heart","valid","nomask","heart","left","left",440.433145443,1,-0.5,-0.333,-0.5
"MWP201",2,266,"deer","valid","nomask","deer","right","right",388.139776012,1,-0.5,-0.333,-0.5
"MWP201",2,267,"heart","valid","mask","heart","right","right",581.992670166,1,-0.5,-0.333,0.5
"MWP201",2,268,"noise","noise","nomask","camel","right","right",623.564633541,1,0,0.667,-0.5
"MWP201",2,269,"noise","noise","mask","piano","right","right",691.230056749,1,0,0.667,0.5
"MWP201",2,270,"heart","valid","nomask","heart","left","left",388.349166285,1,-0.5,-0.333,-0.5
"MWP201",2,271,"noise","noise","mask","camel","left","left",376.818273799,1,0,0.667,0.5
"MWP201",2,272,"piano","invalid","mask","mouse","left","right",NA,0,0.5,-0.333,0.5
"MWP201",2,273,"pear","valid","mask","pear","left","left",407.393153437,1,-0.5,-0.333,0.5
"MWP201",2,274,"mouse","invalid","mask","gorilla","left","left",442.639346875,1,0.5,-0.333,0.5
"MWP201",2,275,"lightbulb","valid","mask","lightbulb","left","left",335.769201221,1,-0.5,-0.333,0.5
"MWP201",2,276,"heart","invalid","mask","pear","left","left",375.096750387,1,0.5,-0.333,0.5
"MWP201",2,277,"deer","valid","nomask","deer","right","right",363.241439481,1,-0.5,-0.333,-0.5
"MWP201",2,278,"pear","valid","nomask","pear","left","left",614.737098222,1,-0.5,-0.333,-0.5
"MWP201",2,279,"camel","invalid","nomask","chicken","right","right",393.165142654,1,0.5,-0.333,-0.5
"MWP201",2,280,"deer","valid","mask","deer","right","right",329.745234048,1,-0.5,-0.333,0.5
"MWP201",2,281,"lightbulb","valid","mask","lightbulb","right","right",765.383459104,1,-0.5,-0.333,0.5
"MWP201",2,282,"noise","noise","nomask","heart","left","left",569.095086976,1,0,0.667,-0.5
