CONCEPT	rope	ruler	sack	saddle	sailboat	salamander	salmon	sandals	sandpaper	sardine	saucer	saxophone	scarf	scissors	scooter	screwdriver	screws	seagull	seal	seaweed	shack	shawl	shed	sheep	shell	shelves	shield	ship	shirt	shoes	shotgun	shovel	shrimp	sink	skateboard	skillet	skirt	skis	skunk	skyscraper	sled	sledgehammer	sleigh	slingshot	slippers	snail	socks	sofa	spade	sparrow	spatula	spear	spider	spinach	spoon	squid	squirrel	starling	stereo	stick	stone	stool_(furniture)	stork	stove	strainer	strawberry	submarine	subway	surfboard	swan	sweater	swimsuit	sword	table	tack	tangerine	tank_(army)	tank_(container)	tap	tape_(scotch)	taxi	telephone	tent	thermometer	thimble	tie	tiger	toad	toaster	toilet	tomahawk	tomato	tongs	tortoise	toy	tractor	trailer	train	tray	tricycle	tripod	trolley	trombone	trousers	trout	truck	trumpet	tuba	tuna	turkey	turnip	turtle	typewriter	umbrella	unicycle	urn	van	veil	vest	vine	violin	vulture	wagon	wall	walnut	walrus	wand	wasp	whale	wheel	wheelbarrow	whip	whistle	willow	woodpecker	worm	wrench	yacht	yam	zebra	zucchini
ashtray	0.000	0.039	0.000	0.000	0.000	0.000	0.000	0.020	0.000	0.076	0.085	0.000	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.037	0.089	0.000	0.000	0.000	0.000	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.039	0.000	0.000	0.000	0.000	0.034	0.000	0.024	0.000	0.000	0.000	0.082	0.000	0.000	0.000	0.068	0.000	0.000	0.000	0.017	0.000	0.000	0.000	0.000	0.000	0.055	0.060	0.000	0.000	0.102	0.000	0.000	0.055	0.000	0.000	0.000	0.000	0.000	0.056	0.000	0.047	0.000	0.133	0.000	0.000	0.000	0.067	0.000	0.162	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.083	0.033	0.000	0.000	0.000	0.000	0.000	0.111	0.000	0.000	0.000	0.000	0.000	0.028	0.000	0.000	0.000	0.048	0.000	0.030	0.000	0.000	0.066	0.000	0.489	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.030	0.000	0.000	0.043	0.000	0.000	0.135	0.000	0.000	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
asparagus	0.138	0.030	0.000	0.000	0.000	0.151	0.105	0.000	0.000	0.105	0.000	0.000	0.104	0.000	0.000	0.038	0.000	0.000	0.050	0.496	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.143	0.000	0.053	0.000	0.123	0.121	0.000	0.000	0.000	0.042	0.000	0.000	0.000	0.071	0.000	0.000	0.000	0.000	0.056	0.097	0.000	0.775	0.000	0.150	0.000	0.000	0.000	0.136	0.000	0.000	0.000	0.000	0.000	0.071	0.000	0.000	0.177	0.000	0.000	0.000	0.088	0.000	0.000	0.000	0.198	0.000	0.000	0.041	0.000	0.000	0.000	0.057	0.000	0.051	0.000	0.242	0.000	0.000	0.000	0.354	0.061	0.149	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.062	0.000	0.119	0.000	0.000	0.000	0.096	0.036	0.630	0.165	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.408	0.000	0.000	0.000	0.000	0.117	0.000	0.189	0.000	0.000	0.000	0.000	0.146	0.000	0.189	0.000	0.181	0.000	0.000	0.419	0.000	0.767
avocado	0.000	0.000	0.000	0.000	0.000	0.163	0.128	0.000	0.000	0.112	0.000	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.061	0.490	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.220	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.033	0.087	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.516	0.000	0.183	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.464	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.272	0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.245	0.000	0.000	0.000	0.528	0.000	0.151	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.164	0.000	0.000	0.000	0.143	0.044	0.294	0.167	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.307	0.000	0.000	0.000	0.000	0.142	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.129	0.000	0.000	0.000	0.000	0.232	0.000	0.504
axe	0.000	0.000	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.319	0.000	0.304	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.012	0.000	0.000	0.000	0.108	0.324	0.000	0.000	0.000	0.137	0.000	0.000	0.000	0.000	0.000	0.303	0.000	0.115	0.000	0.000	0.000	0.000	0.166	0.000	0.150	0.273	0.000	0.000	0.044	0.000	0.000	0.000	0.000	0.013	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.387	0.000	0.188	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.035	0.000	0.000	0.000	0.311	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.021	0.000	0.031	0.000	0.000	0.000	0.015	0.031	0.134	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.067	0.000	0.000	0.000	0.000	0.028	0.000	0.000	0.000	0.066	0.000	0.000	0.000	0.000	0.225	0.000	0.000	0.000	0.000
bag	0.000	0.135	0.338	0.000	0.037	0.000	0.000	0.067	0.000	0.000	0.080	0.000	0.028	0.156	0.000	0.000	0.042	0.000	0.000	0.000	0.000	0.027	0.000	0.000	0.102	0.079	0.000	0.000	0.075	0.065	0.000	0.000	0.000	0.000	0.000	0.000	0.076	0.000	0.000	0.000	0.140	0.000	0.083	0.000	0.000	0.000	0.057	0.000	0.000	0.000	0.235	0.000	0.000	0.000	0.057	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.217	0.000	0.000	0.000	0.026	0.000	0.052	0.046	0.000	0.000	0.065	0.000	0.000	0.346	0.000	0.021	0.000	0.155	0.000	0.000	0.063	0.058	0.000	0.000	0.000	0.000	0.000	0.000	0.113	0.000	0.000	0.000	0.096	0.000	0.406	0.000	0.000	0.117	0.000	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.144	0.000	0.056	0.000	0.000	0.057	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.223	0.000	0.215	0.000	0.000	0.000	0.040	0.000	0.000	0.000	0.000
bagpipe	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.509	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.059	0.000	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.032	0.000	0.019	0.000	0.000	0.000	0.000	0.408	0.000	0.000	0.000	0.476	0.436	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.238	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.043	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000
ball	0.000	0.000	0.000	0.000	0.090	0.000	0.000	0.000	0.000	0.000	0.192	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.026	0.000	0.000	0.116	0.000	0.000	0.000	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.087	0.023	0.000	0.000	0.000	0.077	0.000	0.051	0.000	0.000	0.000	0.038	0.000	0.000	0.000	0.000	0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.020	0.274	0.135	0.000	0.000	0.088	0.000	0.000	0.000	0.025	0.000	0.050	0.045	0.000	0.126	0.047	0.107	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.066	0.000	0.041	0.000	0.000	0.000	0.000	0.037	0.188	0.000	0.000	0.234	0.000	0.000	0.000	0.074	0.018	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.069	0.016	0.000	0.146	0.000	0.126	0.000	0.000	0.056	0.000	0.000	0.000	0.000	0.000	0.065	0.000	0.097	0.000	0.000	0.306	0.000	0.000	0.106	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
balloon	0.000	0.026	0.000	0.000	0.130	0.000	0.000	0.013	0.000	0.000	0.111	0.088	0.063	0.021	0.039	0.000	0.000	0.000	0.018	0.000	0.000	0.047	0.000	0.000	0.089	0.012	0.020	0.156	0.075	0.000	0.000	0.000	0.027	0.000	0.016	0.051	0.054	0.000	0.000	0.015	0.091	0.015	0.016	0.019	0.000	0.000	0.066	0.000	0.000	0.000	0.063	0.000	0.013	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.072	0.078	0.020	0.000	0.093	0.000	0.047	0.000	0.126	0.000	0.089	0.079	0.000	0.073	0.082	0.062	0.063	0.076	0.000	0.000	0.000	0.030	0.000	0.038	0.012	0.073	0.016	0.000	0.000	0.000	0.000	0.109	0.022	0.015	0.060	0.039	0.026	0.000	0.096	0.056	0.000	0.031	0.027	0.044	0.000	0.061	0.000	0.060	0.023	0.033	0.040	0.000	0.000	0.191	0.022	0.073	0.042	0.000	0.098	0.000	0.000	0.028	0.039	0.000	0.000	0.066	0.056	0.000	0.081	0.219	0.000	0.000	0.042	0.031	0.000	0.000	0.000	0.061	0.000	0.000	0.000
banana	0.077	0.017	0.000	0.000	0.000	0.071	0.099	0.000	0.000	0.087	0.037	0.000	0.089	0.000	0.000	0.021	0.000	0.000	0.047	0.225	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.180	0.000	0.029	0.017	0.069	0.068	0.000	0.000	0.000	0.023	0.000	0.000	0.052	0.067	0.000	0.046	0.000	0.000	0.031	0.054	0.000	0.143	0.000	0.142	0.000	0.000	0.000	0.076	0.024	0.026	0.000	0.000	0.017	0.360	0.000	0.000	0.099	0.000	0.000	0.000	0.049	0.024	0.000	0.356	0.048	0.000	0.000	0.023	0.323	0.000	0.000	0.045	0.000	0.028	0.000	0.059	0.000	0.000	0.000	0.309	0.034	0.037	0.000	0.075	0.000	0.000	0.014	0.000	0.000	0.000	0.035	0.000	0.132	0.000	0.000	0.000	0.116	0.034	0.110	0.040	0.000	0.018	0.000	0.024	0.000	0.000	0.000	0.133	0.000	0.000	0.000	0.000	0.172	0.000	0.125	0.181	0.000	0.059	0.000	0.082	0.000	0.065	0.000	0.102	0.000	0.000	0.080	0.000	0.154
banjo	0.000	0.128	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.065	0.431	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.211	0.000	0.137	0.000	0.000	0.191	0.056	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.148	0.030	0.000	0.069	0.000	0.000	0.176	0.155	0.100	0.089	0.000	0.000	0.000	0.000	0.000	0.000	0.059	0.043	0.000	0.000	0.076	0.000	0.000	0.000	0.000	0.240	0.042	0.273	0.000	0.000	0.030	0.000	0.000	0.000	0.055	0.000	0.000	0.000	0.000	0.271	0.000	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.050	0.064	0.000	0.000	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.427	0.000	0.000	0.000	0.370	0.386	0.000	0.000	0.023	0.000	0.000	0.031	0.000	0.043	0.000	0.000	0.000	0.000	0.640	0.000	0.070	0.110	0.000	0.000	0.033	0.000	0.000	0.104	0.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
banner	0.123	0.088	0.000	0.000	0.059	0.000	0.000	0.020	0.000	0.000	0.000	0.000	0.116	0.032	0.000	0.034	0.000	0.000	0.028	0.034	0.000	0.000	0.000	0.000	0.000	0.019	0.030	0.084	0.000	0.000	0.000	0.000	0.041	0.000	0.047	0.000	0.129	0.108	0.000	0.024	0.035	0.061	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.121	0.087	0.020	0.000	0.017	0.000	0.000	0.000	0.000	0.121	0.000	0.000	0.031	0.000	0.066	0.000	0.073	0.000	0.158	0.000	0.000	0.000	0.079	0.000	0.000	0.000	0.097	0.118	0.000	0.037	0.000	0.047	0.000	0.051	0.019	0.045	0.025	0.000	0.000	0.000	0.000	0.000	0.089	0.023	0.000	0.060	0.040	0.000	0.128	0.000	0.000	0.048	0.097	0.000	0.000	0.094	0.000	0.092	0.035	0.052	0.000	0.000	0.000	0.065	0.000	0.000	0.065	0.000	0.000	0.093	0.000	0.043	0.000	0.000	0.000	0.102	0.169	0.000	0.125	0.000	0.000	0.130	0.065	0.102	0.000	0.162	0.000	0.094	0.000	0.000	0.083
barn	0.000	0.116	0.000	0.000	0.058	0.000	0.000	0.000	0.000	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.027	0.019	0.318	0.000	0.458	0.000	0.000	0.461	0.081	0.124	0.000	0.000	0.000	0.000	0.073	0.000	0.135	0.000	0.000	0.063	0.000	0.088	0.160	0.164	0.091	0.081	0.000	0.000	0.040	0.000	0.000	0.000	0.054	0.039	0.020	0.000	0.069	0.000	0.000	0.000	0.000	0.219	0.000	0.206	0.031	0.000	0.000	0.097	0.073	0.025	0.050	0.000	0.000	0.000	0.000	0.208	0.000	0.000	0.096	0.165	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.045	0.100	0.000	0.023	0.000	0.081	0.040	0.000	0.000	0.033	0.000	0.047	0.041	0.000	0.014	0.093	0.000	0.092	0.059	0.051	0.000	0.000	0.000	0.038	0.000	0.000	0.100	0.000	0.000	0.000	0.092	0.043	0.123	0.100	0.000	0.101	0.000	0.000	0.124	0.000	0.062	0.000	0.000	0.047	0.000	0.000	0.000	0.093	0.000	0.000	0.000
