CONCEPT	accordion	airplane	alligator	ambulance	anchor	ant	apartment	apple	apron	armour	ashtray	asparagus	avocado	axe	bag	bagpipe	ball	balloon	banana	banjo	banner	barn	barrel	basement	basket	bat_(animal)	bat_(baseball)	bathtub	baton	bayonet	bazooka	beans	bear	beaver	bed	bedroom	beehive	beetle	beets	belt	bench	bike	bin_(waste)	birch	biscuit	bison	blackbird	blender	blouse	blueberry	bluejay	board_(black)	board_(wood)	boat	bolts	bomb	book	bookcase	boots	bottle	bouquet	bow_(ribbon)	bow_(weapon)	bowl	box	bra	bracelet	bread	brick	bridge	broccoli	broom	brush	bucket	buckle	budgie	buffalo	buggy	building	bull	bullet	bungalow	bureau	bus	butterfly	buzzard	cabbage	cabin	cabinet	cage	cake	calf	camel	camisole	canary	candle	cannon	canoe	cantaloupe	cap_(bottle)	cap_(hat)	cape	car	card_(greeting)	caribou	carpet	carrot	cart	cat	catapult	caterpillar	catfish	cathedral	cauliflower	cedar	celery	cellar	cello	certificate	chain	chair	chandelier	chapel	cheese	cheetah	cherry	chickadee	chicken	chimp	chipmunk	chisel	church	cigar	cigarette	clam	clamp	clarinet	cloak	clock	closet	coat	cockroach	coconut	cod	coin	colander	comb	cork	corkscrew	corn	cottage	couch	cougar	cow	coyote	crab	cranberry	crane_(machine)	crayon	crocodile	crossbow	crow	crowbar	crown	cucumber	cup	cupboard	curtains	cushion	dagger	dandelion	deer	desk	dish	dishwasher	dog	doll	dolphin	donkey	door	doorknob	dove	drain	drapes	dress	dresser	drill	drum	duck	dunebuggy	eagle	earmuffs	eel	eggplant	elephant	elevator	elk	emerald	emu	envelope
brush	0.000	0.035	0.000	0.000	0.094	0.000	0.000	0.000	0.030	0.095	0.049	0.000	0.000	0.168	0.169	0.000	0.000	0.033	0.000	0.000	0.051	0.000	0.000	0.000	0.212	0.000	0.078	0.029	0.062	0.000	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.036	0.018	0.193	0.000	0.000	0.000	0.000	0.040	0.000	0.000	0.000	0.000	0.000	0.034	0.092	0.000	0.000	0.028	0.000	0.089	0.000	0.000	0.034	0.064	0.000	0.000	0.029	0.000	0.000	0.105	0.000	0.525	1.000	0.436	0.156	0.000	0.000	0.155	0.064	0.000	0.057	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.114	0.000	0.000	0.000	0.000	0.000	0.000	0.023	0.000	0.000	0.180	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.101	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.160	0.000	0.000	0.000	0.000	0.074	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.092	0.219	0.156	0.000	0.202	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.079	0.000	0.000	0.000	0.000	0.134	0.000	0.000	0.219	0.000	0.000	0.000	0.146	0.000	0.000	0.044	0.063	0.030	0.000	0.000	0.000	0.000	0.178	0.053	0.000	0.028	0.000	0.000	0.000	0.025	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.030	0.000	0.000	0.000	0.000
bucket	0.000	0.065	0.000	0.000	0.175	0.000	0.000	0.045	0.000	0.179	0.131	0.000	0.000	0.228	0.395	0.000	0.157	0.132	0.030	0.053	0.064	0.000	0.140	0.000	0.441	0.000	0.146	0.000	0.243	0.000	0.096	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.083	0.000	0.067	0.034	0.402	0.000	0.087	0.000	0.000	0.050	0.000	0.105	0.000	0.000	0.000	0.000	0.173	0.000	0.000	0.052	0.000	0.264	0.000	0.000	0.042	0.300	0.000	0.000	0.107	0.000	0.000	0.118	0.000	0.309	0.436	1.000	0.266	0.000	0.000	0.239	0.054	0.000	0.106	0.000	0.000	0.000	0.000	0.000	0.062	0.000	0.000	0.267	0.000	0.000	0.000	0.000	0.000	0.000	0.043	0.000	0.101	0.405	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.190	0.000	0.000	0.000	0.000	0.000	0.077	0.000	0.000	0.000	0.000	0.261	0.000	0.000	0.045	0.000	0.139	0.068	0.000	0.061	0.000	0.000	0.000	0.028	0.000	0.334	0.331	0.212	0.000	0.337	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.149	0.000	0.000	0.000	0.000	0.251	0.062	0.000	0.292	0.000	0.000	0.033	0.211	0.000	0.000	0.082	0.183	0.055	0.000	0.000	0.000	0.000	0.280	0.194	0.000	0.088	0.000	0.000	0.000	0.047	0.120	0.000	0.000	0.000	0.054	0.000	0.000	0.000	0.057	0.000	0.000	0.000	0.000
buckle	0.000	0.108	0.000	0.000	0.291	0.087	0.046	0.000	0.000	0.322	0.027	0.000	0.000	0.000	0.092	0.000	0.000	0.018	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.022	0.242	0.000	0.192	0.000	0.159	0.030	0.000	0.000	0.000	0.021	0.000	0.027	0.000	0.000	0.112	0.056	0.385	0.000	0.047	0.000	0.000	0.022	0.000	0.058	0.018	0.000	0.000	0.029	0.397	0.000	0.000	0.086	0.000	0.049	0.000	0.000	0.019	0.035	0.029	0.000	0.090	0.000	0.000	0.217	0.000	0.016	0.156	0.266	1.000	0.033	0.000	0.112	0.090	0.000	0.221	0.076	0.000	0.000	0.027	0.000	0.000	0.045	0.000	0.384	0.000	0.048	0.000	0.000	0.045	0.000	0.071	0.000	0.000	0.354	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.089	0.000	0.000	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.341	0.000	0.018	0.000	0.000	0.000	0.045	0.078	0.000	0.000	0.072	0.265	0.000	0.000	0.000	0.000	0.386	0.113	0.000	0.000	0.036	0.000	0.035	0.000	0.000	0.345	0.355	0.181	0.000	0.377	0.000	0.108	0.000	0.000	0.000	0.000	0.026	0.032	0.247	0.000	0.000	0.000	0.000	0.417	0.000	0.000	0.029	0.000	0.000	0.024	0.118	0.000	0.000	0.136	0.034	0.092	0.000	0.000	0.000	0.000	0.228	0.167	0.000	0.086	0.000	0.000	0.000	0.077	0.079	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.095	0.000	0.057	0.000	0.000
budgie	0.015	0.111	0.040	0.010	0.000	0.082	0.043	0.031	0.000	0.000	0.000	0.056	0.057	0.000	0.018	0.015	0.018	0.057	0.014	0.000	0.039	0.000	0.000	0.000	0.000	0.093	0.000	0.000	0.000	0.000	0.020	0.075	0.000	0.000	0.000	0.020	0.000	0.080	0.000	0.000	0.012	0.000	0.024	0.000	0.044	0.000	0.431	0.027	0.015	0.115	0.504	0.050	0.000	0.027	0.035	0.014	0.000	0.000	0.000	0.012	0.086	0.036	0.000	0.014	0.027	0.015	0.000	0.000	0.015	0.019	0.057	0.000	0.000	0.000	0.033	1.000	0.000	0.000	0.000	0.000	0.042	0.071	0.000	0.012	0.192	0.502	0.044	0.042	0.000	0.026	0.000	0.045	0.000	0.000	0.764	0.020	0.022	0.000	0.000	0.067	0.018	0.000	0.012	0.042	0.000	0.075	0.000	0.000	0.210	0.000	0.095	0.000	0.000	0.000	0.015	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.042	0.506	0.336	0.095	0.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.034	0.017	0.069	0.000	0.000	0.033	0.000	0.044	0.000	0.000	0.000	0.102	0.000	0.084	0.124	0.000	0.024	0.030	0.000	0.062	0.023	0.000	0.450	0.000	0.000	0.040	0.010	0.000	0.015	0.034	0.036	0.000	0.000	0.000	0.015	0.011	0.085	0.000	0.051	0.000	0.000	0.000	0.393	0.000	0.009	0.013	0.000	0.036	0.034	0.262	0.024	0.418	0.015	0.000	0.000	0.062	0.000	0.000	0.054	0.328	0.014
buffalo	0.000	0.080	0.166	0.053	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.055	0.067	0.000	0.000	0.000	0.000	0.061	0.052	0.000	0.095	0.094	0.125	0.000	0.000	0.119	0.000	0.068	0.000	0.000	0.089	0.117	0.568	0.339	0.000	0.000	0.000	0.063	0.027	0.000	0.035	0.000	0.061	0.000	0.107	0.829	0.088	0.000	0.000	0.057	0.066	0.049	0.041	0.000	0.000	0.000	0.000	0.046	0.025	0.000	0.000	0.000	0.000	0.000	0.093	0.000	0.000	0.130	0.000	0.078	0.028	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.108	0.405	0.000	0.000	0.046	0.073	0.000	0.083	0.020	0.000	0.000	0.000	0.049	0.302	0.288	0.000	0.000	0.000	0.080	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.715	0.000	0.000	0.047	0.299	0.080	0.020	0.053	0.204	0.039	0.000	0.030	0.000	0.137	0.000	0.000	0.121	0.000	0.000	0.082	0.335	0.000	0.141	0.164	0.365	0.307	0.000	0.060	0.136	0.000	0.177	0.000	0.000	0.000	0.000	0.000	0.000	0.131	0.106	0.088	0.000	0.000	0.000	0.055	0.000	0.043	0.000	0.082	0.363	0.441	0.441	0.150	0.000	0.207	0.000	0.212	0.000	0.071	0.000	0.000	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.509	0.069	0.000	0.000	0.344	0.062	0.155	0.453	0.000	0.000	0.000	0.000	0.000	0.000	0.057	0.000	0.000	0.174	0.000	0.105	0.036	0.047	0.099	0.490	0.000	0.735	0.000	0.233	0.000
buggy	0.000	0.096	0.000	0.079	0.093	0.000	0.000	0.000	0.000	0.095	0.000	0.000	0.000	0.072	0.061	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.090	0.000	0.078	0.029	0.061	0.000	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.036	0.373	0.098	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.146	0.092	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.029	0.000	0.000	0.105	0.000	0.086	0.155	0.239	0.112	0.000	0.000	1.000	0.063	0.000	0.056	0.000	0.000	0.310	0.000	0.000	0.000	0.000	0.000	0.114	0.000	0.000	0.028	0.000	0.000	0.000	0.116	0.035	0.000	0.072	0.000	0.000	0.437	0.000	0.000	0.000	0.000	0.524	0.000	0.078	0.000	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.101	0.000	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.116	0.048	0.000	0.000	0.000	0.074	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.091	0.091	0.027	0.000	0.155	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.079	0.000	0.000	0.000	0.000	0.133	0.000	0.000	0.071	0.000	0.000	0.000	0.077	0.000	0.000	0.044	0.000	0.029	0.000	0.000	0.000	0.000	0.118	0.053	0.000	0.027	0.000	0.000	0.000	0.025	0.025	0.000	0.376	0.000	0.000	0.000	0.000	0.000	0.105	0.000	0.000	0.000	0.000
building	0.000	0.072	0.000	0.029	0.109	0.000	0.108	0.000	0.000	0.076	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.034	0.000	0.085	0.053	0.156	0.193	0.128	0.054	0.000	0.183	0.066	0.098	0.000	0.090	0.000	0.111	0.000	0.000	0.031	0.000	0.035	0.000	0.000	0.137	0.015	0.113	0.126	0.000	0.119	0.000	0.000	0.000	0.000	0.000	0.027	0.133	0.105	0.074	0.000	0.000	0.205	0.000	0.000	0.000	0.000	0.071	0.000	0.071	0.000	0.023	0.000	0.033	0.168	0.000	0.066	0.064	0.054	0.090	0.000	0.108	0.063	1.000	0.100	0.045	0.126	0.110	0.145	0.000	0.046	0.000	0.125	0.226	0.092	0.000	0.000	0.026	0.000	0.000	0.000	0.063	0.065	0.000	0.058	0.000	0.000	0.133	0.000	0.070	0.000	0.000	0.127	0.000	0.116	0.000	0.000	0.204	0.000	0.126	0.000	0.000	0.158	0.000	0.082	0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.068	0.033	0.029	0.000	0.000	0.059	0.055	0.000	0.000	0.080	0.000	0.045	0.000	0.000	0.074	0.074	0.022	0.079	0.097	0.000	0.186	0.024	0.027	0.072	0.000	0.000	0.000	0.178	0.000	0.058	0.070	0.039	0.107	0.000	0.000	0.000	0.151	0.000	0.000	0.021	0.000	0.000	0.129	0.000	0.024	0.000	0.000	0.000	0.000	0.164	0.043	0.000	0.022	0.000	0.000	0.117	0.020	0.020	0.000	0.000	0.046	0.000	0.000	0.000	0.118	0.148	0.041	0.000	0.045	0.000
bull	0.000	0.075	0.119	0.050	0.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.029	0.000	0.000	0.000	0.057	0.000	0.000	0.089	0.088	0.074	0.000	0.000	0.077	0.000	0.064	0.000	0.061	0.132	0.000	0.337	0.106	0.000	0.000	0.049	0.058	0.000	0.000	0.000	0.000	0.056	0.000	0.000	0.376	0.054	0.000	0.000	0.000	0.040	0.046	0.000	0.000	0.000	0.047	0.000	0.043	0.000	0.000	0.000	0.000	0.023	0.000	0.064	0.000	0.000	0.000	0.000	0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.405	0.000	0.100	1.000	0.000	0.000	0.043	0.068	0.000	0.077	0.000	0.000	0.000	0.000	0.000	0.111	0.157	0.000	0.000	0.000	0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.357	0.000	0.000	0.044	0.144	0.075	0.000	0.000	0.190	0.000	0.000	0.000	0.000	0.128	0.000	0.000	0.000	0.000	0.000	0.000	0.135	0.000	0.072	0.070	0.172	0.134	0.000	0.056	0.049	0.000	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.076	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.040	0.221	0.249	0.145	0.041	0.000	0.193	0.000	0.174	0.022	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.000	0.144	0.000	0.000	0.000	0.118	0.000	0.110	0.170	0.000	0.000	0.000	0.000	0.000	0.000	0.053	0.000	0.000	0.027	0.000	0.078	0.000	0.031	0.000	0.304	0.000	0.334	0.000	0.169	0.000
bullet	0.000	0.139	0.000	0.116	0.147	0.112	0.058	0.000	0.000	0.149	0.000	0.000	0.000	0.076	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.028	0.122	0.000	0.097	0.256	0.266	0.038	0.000	0.000	0.000	0.027	0.000	0.034	0.000	0.000	0.056	0.060	0.188	0.000	0.060	0.000	0.000	0.000	0.000	0.074	0.023	0.000	0.000	0.037	0.193	0.182	0.000	0.043	0.000	0.000	0.000	0.000	0.096	0.000	0.037	0.000	0.046	0.000	0.000	0.126	0.000	0.000	0.057	0.106	0.221	0.042	0.000	0.056	0.045	0.000	1.000	0.097	0.000	0.000	0.035	0.000	0.000	0.057	0.000	0.215	0.000	0.061	0.000	0.000	0.058	0.000	0.054	0.000	0.000	0.203	0.000	0.000	0.064	0.000	0.035	0.000	0.015	0.045	0.000	0.000	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.159	0.000	0.000	0.000	0.000	0.158	0.057	0.099	0.000	0.000	0.158	0.134	0.000	0.000	0.000	0.000	0.116	0.057	0.000	0.000	0.047	0.000	0.044	0.000	0.000	0.189	0.144	0.077	0.000	0.190	0.000	0.139	0.000	0.175	0.000	0.000	0.033	0.040	0.124	0.000	0.000	0.222	0.000	0.223	0.000	0.000	0.000	0.000	0.000	0.031	0.336	0.000	0.094	0.069	0.000	0.046	0.000	0.000	0.000	0.000	0.115	0.084	0.000	0.043	0.000	0.000	0.000	0.039	0.040	0.000	0.076	0.000	0.000	0.000	0.000	0.000	0.048	0.047	0.000	0.000	0.000
bungalow	0.000	0.000	0.000	0.000	0.000	0.191	0.328	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.048	0.000	0.000	0.000	0.000	0.000	0.065	0.000	0.000	0.000	0.046	0.000	0.058	0.000	0.000	0.000	0.000	0.056	0.000	0.103	0.000	0.000	0.000	0.000	0.126	0.039	0.000	0.000	0.063	0.082	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.063	0.000	0.000	0.000	0.000	0.045	0.000	0.000	0.000	0.000	0.076	0.071	0.000	0.000	0.126	0.000	0.097	1.000	0.000	0.000	0.059	0.000	0.000	0.115	0.000	0.061	0.000	0.104	0.000	0.000	0.098	0.000	0.000	0.000	0.000	0.154	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.114	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.098	0.170	0.000	0.000	0.158	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.079	0.000	0.075	0.000	0.000	0.076	0.000	0.058	0.000	0.000	0.000	0.475	0.000	0.000	0.000	0.000	0.057	0.069	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.053	0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
bureau	0.000	0.019	0.000	0.013	0.079	0.000	0.000	0.000	0.000	0.031	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.014	0.000	0.157	0.022	0.366	0.396	0.209	0.100	0.000	0.239	0.016	0.090	0.000	0.021	0.000	0.047	0.000	0.079	0.000	0.000	0.015	0.000	0.000	0.200	0.000	0.014	0.000	0.000	0.051	0.000	0.000	0.000	0.000	0.000	0.051	0.246	0.133	0.000	0.000	0.000	0.307	0.000	0.000	0.000	0.000	0.132	0.000	0.329	0.000	0.000	0.000	0.064	0.080	0.000	0.122	0.000	0.000	0.000	0.000	0.046	0.000	0.110	0.043	0.000	0.000	1.000	0.017	0.000	0.020	0.000	0.231	0.575	0.000	0.000	0.000	0.011	0.000	0.000	0.000	0.059	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.030	0.000	0.000	0.155	0.000	0.151	0.000	0.000	0.048	0.000	0.000	0.000	0.107	0.184	0.000	0.000	0.204	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.014	0.012	0.000	0.000	0.000	0.047	0.000	0.000	0.480	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.147	0.000	0.000	0.145	0.112	0.012	0.031	0.000	0.000	0.000	0.075	0.000	0.025	0.130	0.017	0.036	0.018	0.000	0.000	0.364	0.000	0.000	0.000	0.000	0.000	0.453	0.000	0.000	0.000	0.000	0.000	0.000	0.195	0.000	0.000	0.000	0.017	0.000	0.903	0.000	0.000	0.000	0.000	0.020	0.000	0.000	0.000	0.050	0.000	0.017	0.000	0.019	0.000
bus	0.019	0.285	0.000	0.122	0.023	0.000	0.018	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.019	0.000	0.023	0.072	0.000	0.036	0.046	0.030	0.026	0.000	0.000	0.000	0.026	0.000	0.000	0.059	0.027	0.076	0.000	0.000	0.000	0.022	0.024	0.000	0.000	0.000	0.276	0.023	0.000	0.000	0.081	0.000	0.035	0.000	0.000	0.000	0.019	0.000	0.180	0.000	0.018	0.000	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.026	0.000	0.000	0.000	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.012	0.073	0.310	0.145	0.068	0.000	0.000	0.017	1.000	0.000	0.031	0.000	0.000	0.034	0.000	0.000	0.000	0.063	0.000	0.056	0.000	0.110	0.057	0.000	0.000	0.000	0.000	0.563	0.000	0.048	0.000	0.000	0.186	0.000	0.074	0.000	0.000	0.099	0.000	0.000	0.000	0.000	0.052	0.000	0.000	0.000	0.000	0.059	0.033	0.019	0.000	0.030	0.013	0.000	0.000	0.000	0.103	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.030	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.069	0.030	0.016	0.019	0.049	0.000	0.000	0.000	0.097	0.000	0.039	0.000	0.070	0.000	0.000	0.000	0.000	0.031	0.000	0.000	0.000	0.073	0.000	0.000	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.021	0.046	0.043	0.000	0.324	0.031	0.000	0.000	0.000	0.080	0.151	0.028	0.000	0.031	0.000
butterfly	0.000	0.452	0.000	0.000	0.000	0.271	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.055	0.000	0.053	0.119	0.000	0.000	0.037	0.000	0.000	0.000	0.000	0.396	0.000	0.000	0.000	0.000	0.000	0.023	0.000	0.000	0.000	0.016	0.000	0.492	0.000	0.000	0.037	0.000	0.020	0.000	0.037	0.000	0.346	0.000	0.067	0.045	0.313	0.000	0.000	0.023	0.029	0.000	0.000	0.000	0.000	0.000	0.114	0.106	0.000	0.041	0.023	0.046	0.000	0.000	0.045	0.016	0.000	0.000	0.000	0.000	0.027	0.192	0.000	0.000	0.000	0.000	0.035	0.059	0.000	0.000	1.000	0.168	0.000	0.035	0.000	0.022	0.000	0.037	0.000	0.000	0.208	0.059	0.000	0.000	0.000	0.055	0.053	0.000	0.037	0.041	0.000	0.131	0.000	0.000	0.000	0.000	0.214	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.035	0.296	0.127	0.000	0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.028	0.052	0.365	0.000	0.000	0.027	0.000	0.076	0.000	0.000	0.000	0.085	0.000	0.000	0.000	0.000	0.020	0.025	0.000	0.129	0.000	0.000	0.145	0.000	0.000	0.000	0.030	0.000	0.044	0.051	0.030	0.000	0.000	0.000	0.046	0.000	0.000	0.039	0.000	0.000	0.000	0.000	0.300	0.000	0.028	0.039	0.000	0.000	0.000	0.132	0.000	0.250	0.045	0.000	0.000	0.000	0.000	0.000	0.013	0.000	0.042
buzzard	0.000	0.232	0.000	0.023	0.026	0.092	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.026	0.000	0.013	0.041	0.040	0.034	0.000	0.000	0.233	0.000	0.029	0.000	0.000	0.038	0.000	0.151	0.000	0.000	0.000	0.000	0.267	0.000	0.000	0.000	0.000	0.026	0.000	0.000	0.091	0.619	0.000	0.000	0.000	0.585	0.148	0.000	0.000	0.000	0.000	0.000	0.020	0.027	0.018	0.000	0.000	0.000	0.000	0.029	0.023	0.000	0.000	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.502	0.083	0.000	0.046	0.077	0.000	0.000	0.020	0.031	0.168	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.097	0.000	0.488	0.000	0.096	0.000	0.000	0.000	0.000	0.062	0.000	0.000	0.054	0.000	0.000	0.020	0.070	0.034	0.000	0.000	0.087	0.000	0.000	0.000	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.023	0.000	0.563	0.424	0.072	0.000	0.000	0.025	0.022	0.000	0.000	0.000	0.067	0.091	0.000	0.000	0.000	0.219	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.018	0.085	0.193	0.043	0.000	0.000	0.088	0.000	0.045	0.000	0.771	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.012	0.000	0.039	0.000	0.000	0.000	0.554	0.000	0.000	0.000	0.024	0.000	0.000	0.326	0.000	0.613	0.000	0.000	0.000	0.138	0.000	0.031	0.000	0.497	0.000
cabbage	0.000	0.000	0.185	0.035	0.000	0.000	0.000	0.193	0.000	0.000	0.106	0.681	0.430	0.000	0.000	0.000	0.107	0.062	0.111	0.036	0.000	0.030	0.096	0.000	0.000	0.000	0.000	0.029	0.087	0.000	0.000	0.598	0.018	0.000	0.000	0.000	0.000	0.000	0.505	0.000	0.000	0.000	0.130	0.184	0.115	0.000	0.000	0.000	0.000	0.102	0.000	0.234	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.055	0.000	0.000	0.000	0.110	0.000	0.018	0.036	0.094	0.000	0.000	0.692	0.000	0.000	0.062	0.000	0.044	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.026	0.014	0.000	0.026	0.000	0.000	0.000	0.000	0.069	0.092	0.000	0.000	0.000	0.000	0.000	0.000	0.337	0.000	0.000	0.000	0.049	0.028	0.000	0.524	0.285	0.662	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.063	0.000	0.053	0.000	0.026	0.000	0.017	0.000	0.000	0.107	0.127	0.054	0.000	0.000	0.000	0.042	0.000	0.000	0.000	0.045	0.045	0.111	0.000	0.000	0.000	0.000	0.202	0.000	0.000	0.000	0.042	0.000	0.043	0.000	0.000	0.000	0.107	0.000	0.000	0.000	0.042	0.509	0.000	0.000	0.000	0.022	0.000	0.000	0.011	0.000	0.072	0.000	0.000	0.000	0.000	0.000	0.000	0.064	0.049	0.025	0.000	0.000	0.000	0.000	0.050	0.023	0.000	0.000	0.037	0.025	0.386	0.000	0.000	0.014	0.253	0.000	0.039
cabin	0.000	0.000	0.000	0.000	0.000	0.112	0.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.232	0.000	0.211	0.407	0.000	0.148	0.028	0.329	0.000	0.133	0.000	0.000	0.038	0.000	0.000	0.000	0.027	0.000	0.034	0.000	0.000	0.295	0.000	0.033	0.000	0.060	0.000	0.000	0.000	0.000	0.074	0.023	0.000	0.364	0.233	0.048	0.000	0.000	0.304	0.000	0.000	0.000	0.000	0.194	0.000	0.128	0.000	0.000	0.000	0.000	0.117	0.000	0.180	0.000	0.000	0.045	0.042	0.000	0.000	0.125	0.000	0.057	0.115	0.231	0.000	0.035	0.000	0.000	1.000	0.370	0.036	0.000	0.061	0.000	0.000	0.058	0.000	0.000	0.178	0.000	0.091	0.000	0.000	0.000	0.000	0.000	0.018	0.000	0.212	0.000	0.195	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.224	0.000	0.000	0.229	0.000	0.000	0.000	0.000	0.057	0.100	0.000	0.000	0.093	0.000	0.000	0.000	0.000	0.000	0.000	0.070	0.000	0.000	0.047	0.000	0.044	0.000	0.000	0.045	0.000	0.034	0.217	0.000	0.000	0.524	0.016	0.000	0.000	0.000	0.033	0.040	0.000	0.000	0.000	0.193	0.000	0.000	0.000	0.000	0.000	0.186	0.000	0.031	0.049	0.000	0.000	0.257	0.000	0.000	0.000	0.000	0.000	0.000	0.288	0.000	0.000	0.000	0.000	0.000	0.233	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
