num,concept,H_line,H_gray,H_color,acc_line,acc_gray,acc_color,rt_line,rt_gray,rt_color
87,fence,0.29,0,0,95,100,100,1104,823,813
88,finger,0,0,0,100,100,100,771,794,732
89,fish,0.65,0,0.29,83,100,95,740,757,824
90,flag,0.68,1.17,0.78,82,75,84,773,761,773
91,flower,0,0.29,0,100,95,100,785,866,755
92,flute,1.21,1.48,1.09,61,47,74,1509,1288,1059
93,fly,0,0,0,100,100,100,1316,1228,1095
94,foot,0.32,0,0.29,94,100,95,693,737,684
95,football,1.46,0.63,0.5,70,84,89,1241,1284,1263
96,football helmet,0,0.5,0,100,89,100,1127,1009,830
97,fork,0,1.23,0,100,65,100,774,821,762
98,fox,0.98,0,0.79,59,100,76,1048,1017,1043
99,french horn,0,0,0,100,100,100,923,1364,1401
100,frog,0,0,0,100,100,100,878,931,789
101,frying pan,0,0,0,100,100,100,966,916,955
102,garbage can,0.32,0,0,94,100,100,958,878,787
103,giraffe,0,0,0,100,100,100,734,754,730
104,glass,0,0,0,100,100,100,673,715,672
105,glasses,0,0,0.29,100,100,95,672,742,657
106,gloves,0,0,0.32,100,100,94,910,849,787
107,goat,0,0,0,100,100,100,1175,1307,1254
108,gorilla,1.06,1.14,1.39,72,65,59,1037,1051,1138
109,grapes,0.5,0.29,0,89,95,100,847,956,811
110,grasshopper,0,0.61,0.47,100,85,90,1424,1591,1127
111,guitar,0.29,0,0.58,95,100,90,805,759,679
112,gun,0,0,0,100,100,100,815,734,773
113,hair,0,0,0,100,100,100,1275,1077,939
114,hammer,0.58,0,0,90,100,100,1146,1080,1019
115,hand,1.79,1,0.99,37,50,76,676,733,700
116,hanger,0.61,0.29,0.29,85,95,95,784,809,829
117,harp,0.29,0.29,0,95,95,100,1308,1029,965
118,hat,1.96,2.24,1.48,20,33,42,608,643,626
119,heart,2.22,2.08,1.4,33,44,50,706,769,664
120,helicopter,1.18,0.61,1.21,70,85,61,772,813,734
121,horse,0.32,1.11,0.5,94,68,89,729,785,707
122,house,0,0.58,0,100,90,100,708,830,702
123,iron,0.74,1,0.65,79,53,83,1001,901,863
124,ironing board,2.43,2.27,1.54,37,39,40,1433,1125,951
125,jacket,0,0,0,100,100,100,1148,1015,1307
126,kangaroo,0,0,0,100,100,100,789,867,787
127,kettle,0,0.29,0.29,100,95,95,1202,1435,1222
128,key,0,0,0,100,100,100,725,663,651
129,kite,1.06,0.95,0.92,72,63,67,839,877,762
130,knife,0.72,0.29,0.81,80,95,75,878,892,853
131,ladder,0,0,0,100,100,100,699,696,694
132,lamp,0.29,0,0,95,100,100,707,727,683
133,leaf,0.75,0,0,85,100,100,776,736,730
134,leg,0.29,0,0,95,100,100,1019,1027,953
135,lemon,0,0.99,0.32,100,55,94,840,869,680
136,leopard,0,0,0,100,100,100,1094,925,1034
137,lettuce,1.17,0.64,0,75,88,100,1183,1069,1058
138,lightbulb,0,0,0,100,100,100,887,894,810
139,light switch,0,0,0,100,100,100,1213,1194,1155
140,lion,0,0,0,100,100,100,1037,910,796
141,lips,0,0,0,100,100,100,820,883,741
142,lobster,0,0.32,0,100,94,100,1300,1297,1071
143,lock,0.64,0.29,0.29,88,95,95,1084,1063,940
144,mitten,0.88,0.97,0.29,70,60,95,975,999,798
145,monkey,0,0,0,100,100,100,962,1065,1090
146,moon,0.32,0.81,0.75,94,83,85,768,868,786
147,motorcycle,0.32,0,0,94,100,100,810,742,694
148,mountain,1.76,2.33,1.51,60,25,44,919,980,945
149,mouse,0.29,0,0,95,100,100,835,820,719
150,mushroom,0,0,0,100,100,100,760,774,652
151,nail,0,0.29,1.2,100,95,68,1182,1004,1209
152,nail file,1.17,0.81,0,63,75,100,2090,1249,1434
153,necklace,0,0.32,0.32,100,94,94,805,779,722
154,needle,0.99,0.58,0.97,42,90,60,1251,1105,1327
155,nose,1.19,0.61,0.72,60,85,80,680,709,632
156,nut,0,0,0,100,100,100,1494,1272,1507
157,onion,0.32,0.29,0.29,94,95,95,1235,941,799
158,orange,0,0,0,100,100,100,823,921,714
159,ostrich,0.29,0.47,0.61,95,90,85,1192,1133,1099
160,owl,1.41,0.29,0,67,95,100,1002,777,963
161,paintbrush,0.72,0.37,0,80,93,100,907,887,744
162,pants,0,0,0,100,100,100,849,775,736
163,peach,0,0,0,100,100,100,1503,1347,1345
164,peacock,0,0.29,0,100,95,100,1127,1140,1011
165,peanut,0.47,0.29,0,90,95,100,1302,1053,901
166,pear,0.5,0,0.59,89,100,89,857,813,750
167,pen,0.64,0,0,88,100,100,924,960,928
168,pencil,0.29,0.29,0.29,95,95,95,788,859,698
169,penguin,0.29,0,0,95,100,100,1216,976,1042
170,pepper,0,0.61,0.99,100,85,75,1126,1307,1041
171,piano,0,0,0,100,100,100,851,826,788
172,pig,0.95,0.47,1.01,78,90,74,1078,1120,888
173,pineapple,0,0.29,0,100,95,100,773,880,859
174,pipe,0,1.19,1.24,100,60,53,760,670,692
175,pitcher,0.71,0.29,0,81,95,100,1174,1190,1106
176,pliers,0,0,0,100,100,100,1544,1423,1433
177,plug,0,0,0,100,100,100,1373,1388,1268
178,pocketbook,0,0,0,100,100,100,934,902,774
179,pot,0.88,0.91,1,70,68,50,747,762,821
180,potato,0,0,0,100,100,100,1191,899,979
181,pumpkin,0.81,0.29,0.32,83,95,94,1184,1169,959
182,rabbit,0,0,0,100,100,100,716,725,635
183,raccoon,1.31,1.3,0.78,69,54,85,1643,1388,1422
184,record player,1.35,0.29,0.78,67,95,84,1031,1073,1000
185,refrigerator,0.81,0.91,0.59,75,79,89,933,833,806
186,rhinoceros,1.31,1.74,1.65,69,50,39,1053,1033,916
187,ring,0.81,0.29,0,75,95,100,1291,1181,898
188,rocking chair,1.06,0.99,1.21,73,75,69,1074,1003,1265
189,roller skate,0.58,0.29,0,90,95,100,1354,1133,1146
190,rolling pin,0,0,0,100,100,100,1251,1362,1198
191,rooster,0.88,0.91,0.93,70,32,65,961,912,804
192,ruler,0.99,1.21,0.72,58,61,80,880,969,843
193,sailboat,1.27,0.78,0.72,75,85,80,758,826,850
194,saltshaker,0.73,0.29,0,86,95,100,1205,1013,920
195,sandwich,0,0,0,100,100,100,891,888,783
196,saw,0.73,0.59,0.94,86,86,64,1189,899,851
197,scissors,0.29,0,0,95,100,100,776,765,739
198,screw,0.61,0,0,85,100,100,974,984,1059
199,screwdriver,0.29,0,0,95,100,100,1168,1120,961
200,sea horse,0,0,0,100,100,100,1228,1190,1110
201,seal,1.11,1.24,1.24,68,74,60,929,921,871
202,sheep,1.17,0,1.41,75,100,59,1138,1016,1038
203,shirt,0,0.94,0,100,83,100,1109,953,810
204,shoe,0,0,0,100,100,100,732,854,716
205,skirt,0,0,0,100,100,100,933,833,845
206,skunk,0,0,0,100,100,100,1662,1213,1297
207,sled,0,0,0,100,100,100,1411,1199,1132
208,snail,0,0,0,100,100,100,809,945,762
209,snake,0.29,0.29,0,95,95,100,847,854,792
210,snowman,0.58,0.29,0,90,95,100,921,877,867
211,socks,0.63,1.06,0.59,84,72,89,777,811,680
212,spider,0,0.47,0.75,100,90,85,1133,1086,901
213,spinning wheel,0,0,0,100,100,100,2067,1553,2264
214,spool of thread,1.43,1,0.89,61,53,69,1211,1153,999
215,spoon,0,0,0,100,100,100,685,668,655
216,squirrel,0.83,1.11,0.91,74,68,79,1280,1007,943
217,star,1.6,1.35,1.39,63,61,47,658,716,656
218,stool,0,0,0,100,100,100,820,873,748
219,stove,0.75,0.47,0.29,85,90,95,1239,1050,1202
220,strawberry,0,0,0,100,100,100,986,910,831
221,suitcase,0.47,0.29,0.75,90,95,85,959,837,835
222,sun,0.76,0.29,0.74,78,95,79,667,712,635
223,swan,0,0.29,0,100,95,100,961,1052,967
224,sweater,0,0,0,100,100,100,1006,958,871
225,swing,0,0,0,100,100,100,1519,1366,1053
226,table,0,0,0,100,100,100,648,790,719
227,telephone,1.44,0.65,0.65,71,83,83,645,658,595
228,television,0,0,0.29,100,100,95,737,713,673
229,tennis racket,0.64,0,0,88,100,100,976,993,853
230,thimble,0,0,0,100,100,100,1167,1077,954
231,thumb,0,0,0.29,100,100,95,1676,982,1008
232,tie,0.29,0,0,95,100,100,771,789,713
233,tiger,0,0.29,0,100,95,100,1148,1063,893
234,toaster,0,0,0,100,100,100,1198,1225,1236
235,toe,0.29,0,0,95,100,100,,,786
236,tomato,0.63,0.5,0,89,89,100,908,933,713
237,toothbrush,0.87,0.75,0.32,71,85,94,913,897,729
238,top,1.86,1.35,0.91,50,56,80,1036,1165,992
239,traffic lights,0,0,0,100,100,100,1071,1172,1068
240,train,0,0.59,0,100,89,100,885,967,969
241,tree,0,0,0,100,100,100,698,676,604
242,truck,0,0,0,100,100,100,680,674,670
243,trumpet,0.5,0.74,0.59,89,79,89,784,832,689
244,turtle,0.91,0.47,0.58,79,90,90,728,762,772
245,umbrella,0.29,0.29,0,95,95,100,651,677,628
246,vase,1.59,1.46,0.87,33,17,0,857,823,725
247,vest,0.32,0,0,94,100,100,1297,1455,1501
248,violin,0,0,0.29,100,100,95,1178,1184,951
249,wagon,1.44,1.49,0.61,55,47,85,1846,1236,1930
250,watch,0.91,1.46,1.29,68,40,10,796,777,809
251,watering can,0,0,0,100,100,100,943,914,931
252,watermelon,0,0,0,100,100,100,1471,1427,1113
253,well,1.39,1.35,0.32,67,67,94,979,1038,915
254,wheel,0,0,0.32,100,100,94,1039,965,847
255,whistle,0,0,0,100,100,100,906,890,921
256,windmill,0,0,0,100,100,100,784,759,712
257,window,0,0.74,0.91,100,79,68,1150,1067,963
258,wine glass,0,0,0,100,100,100,717,857,732
259,wrench,0,0,0,100,100,100,1230,1344,1321
260,zebra,0,0,0.29,100,100,95,1104,935,810
