num,concept,image_line_mean,image_gray_mean,image_color_mean,image_line_sd,image_gray_sd,image_color_sd
48,carrott,4.18,4.58,4.75,1.25,0.27,0.2
49,cat,3.91,3.92,3.17,1.22,0.63,1.79
50,caterpillar,4.18,4.25,4.08,1.33,0.75,0.63
51,celery,3.82,3.67,3.83,1.25,1.7,2.15
52,chain,3.91,3.92,4,1.3,1.36,2.36
53,chair,3.45,3.25,3.42,1.29,1.11,0.81
54,cherry,4.45,4.67,4.58,0.93,0.24,0.27
55,chicken,4.45,4.17,3.67,0.52,0.88,1.7
56,chisel,2,2.64,2.25,1.49,2.05,2.2
57,church,3.55,3.58,3.33,1.21,0.99,0.97
58,cigar,3.73,4.5,4.25,1.19,0.27,0.75
59,cigarette,3.73,4.5,4.42,1.42,0.27,0.45
60,clock,2.82,2.5,2.5,1.25,1.36,2.09
61,clothespin,4.73,4.58,4.83,0.65,0.27,0.15
62,cloud,3.09,3.08,3.67,1.14,1.36,0.79
63,clown,3.45,3.67,2.83,1.04,0.61,1.79
64,coat,2.82,3.25,2.75,1.25,1.84,2.39
65,comb,4.45,4,4,0.52,0.91,1.64
66,corn,4.55,4.67,4.58,0.52,0.24,0.63
67,couch,3.36,3.67,3.42,1.21,0.79,0.81
68,cow,3.55,3.58,3.5,1.21,0.99,1.18
69,crown,3.55,3.83,3.67,1.13,0.88,0.97
70,cup,4,3.67,3.33,0.77,1.52,1.52
71,deer,4.27,4.58,4.67,1.01,0.27,0.24
72,desk,3.09,3,2.75,1.22,0.91,2.02
73,dog,3.09,3.42,3.5,1.51,1.9,0.82
74,doll,2.64,2.17,2.17,1.21,0.52,1.79
75,donkey,4.45,4,4.33,0.52,0.91,0.42
76,door,3,2.92,3.42,1.26,1.54,0.99
77,doorknob,3.91,3.82,3,0.94,1.36,2.36
78,dress,2.27,2.25,2.33,1.01,1.11,1.33
79,dresser,3.73,3.83,3.67,1.56,0.88,1.52
80,drum,3.91,3.58,3.58,0.83,1.36,1.17
81,duck,3.55,3.67,3.75,1.21,0.61,1.48
82,eagle,3.36,3.08,3.67,1.36,0.63,0.79
83,ear,4.55,4.5,4.67,0.52,0.27,0.24
84,elephant,4.09,4.08,4.5,1.14,0.63,0.45
85,envelope,4.09,4.58,4.83,1.3,0.45,0.15
86,eye,3.27,3.33,2.83,1.01,1.88,1.61
87,fence,4.36,3.67,4,0.81,0.97,0.73
88,finger,4.09,4.67,4.42,1.45,0.24,0.63
89,fish,3.73,2.92,2.92,1.19,1.36,2.27
90,flag,3.36,3.83,3.17,1.03,1.79,1.97
91,flower,3.36,3.33,2.42,1.5,0.79,1.54
92,flute,2.91,3.17,2.67,1.38,1.42,1.15
93,fly,4.18,4.25,4.33,1.33,0.39,0.61
94,foot,4.36,4.33,4.67,0.92,0.42,0.24
95,football,4.55,4.83,4.67,0.69,0.15,0.24
96,football helmet,3.2,3,3.91,1.69,2.91,1.89
97,fork,4.55,4.67,4.92,0.52,0.24,0.08
98,fox,4.45,4.08,4.08,0.82,0.63,0.81
99,french horn,3.2,3.45,3.92,1.81,2.67,2.63
100,frog,4.18,3.83,4.17,0.87,1.06,0.88
101,frying pan,3.73,3.5,3.33,1.1,0.64,1.33
102,garbage can,3.82,2.75,4.25,1.47,1.3,1.3
103,giraffe,4.73,4.83,4.42,0.47,0.15,0.45
104,glass,3.91,4.42,3.92,1.3,0.45,1.17
105,glasses,3.27,3.58,3.5,1.1,0.81,0.82
106,gloves,3.45,3.58,3.17,1.29,0.99,1.42
107,goat,4.09,4.17,4,0.7,0.7,0.55
108,gorilla,3.45,4.08,4.25,1.04,0.27,0.75
109,grapes,3.64,4.08,4.08,1.12,0.45,0.81
110,grasshopper,4.18,3.92,4.17,0.75,0.99,1.24
111,guitar,4.27,4.67,4.58,1.01,0.24,0.99
112,gun,4.18,4.33,4.25,0.98,0.79,0.75
113,hair,2.64,2.17,1.83,1.5,0.7,1.24
114,hammer,2.73,3.25,3.33,1.49,1.3,2.24
115,hand,4.45,4.25,3.83,1.21,0.39,0.52
116,hanger,3,3.75,3.58,1.34,1.11,1.36
117,harp,4.27,4.42,4.67,1.27,0.99,0.42
118,hat,3.27,2.67,3.42,1.79,1.88,1.72
119,heart,4.18,4.75,4.83,1.6,0.39,0.33
120,helicopter,3.91,3.58,3.33,0.94,0.63,1.52
121,horse,4.18,4.5,4.5,1.25,0.82,0.27
122,house,3,3,2.42,1.41,1.27,2.08
123,iron,3.55,2.92,3.25,1.21,1.9,1.3
124,ironing board,4,4.33,4.17,1.1,0.42,0.52
125,jacket,3.45,2.5,2.5,1.21,1.55,1.55
126,kangaroo,4.36,4.75,4.5,1.21,0.2,0.45
127,kettle,3.36,3.42,3.25,1.21,1.72,0.93
128,key,3.09,2.42,3.33,1.38,1.17,2.24
129,kite,4.45,4.33,4.17,0.93,0.24,0.7
130,knife,3.73,3.08,3.75,1.49,0.99,0.75
131,ladder,3.36,4.67,4.5,1.21,0.24,0.45
132,lamp,2.82,3.17,2.75,1.47,1.61,1.84
133,leaf,3.27,2.83,4.17,1.74,2.88,0.88
134,leg,4,4.08,3.75,1.26,0.81,1.3
135,lemon,4.82,4.83,4.92,0.4,0.15,0.08
136,leopard,3.27,3.58,3.75,1.35,0.99,0.93
137,lettuce,3.45,4.25,4,1.13,0.57,2.18
138,lightbulb,4.82,4.67,4.75,0.4,0.24,0.2
139,light switch,3,3.25,3.17,0.89,1.48,2.33
140,lion,3.91,4.25,4.17,0.94,0.39,0.7
141,lips,3.82,3.42,3.75,1.4,1.9,0.75
142,lobster,4.55,4,4.5,0.52,1.27,0.27
143,lock,4.27,4.33,4.5,1.42,0.79,0.45
144,mitten,4.45,4.5,3.58,0.82,0.45,1.72
145,monkey,3.36,2.5,2.67,1.29,0.82,1.7
146,moon,4,3.92,3.75,1.26,1.36,2.02
147,motorcycle,3.55,3.5,3.83,0.93,1.55,0.7
148,mountain,4.64,3.92,3.42,0.67,0.99,1.17
149,mouse,4.27,4.08,4.5,0.79,1.72,0.45
150,mushroom,4,3.92,3.08,0.77,0.81,1.36
151,nail,4.09,4.83,4.75,1.22,0.15,0.2
152,nail file,2.91,2.83,3.25,1.14,1.79,2.02
153,necklace,3.73,4.25,4.17,1.56,1.11,1.42
154,needle,3.45,4.5,4.33,1.21,0.27,0.79
155,nose,3.82,4,3.92,1.4,1.27,0.99
156,nut,4.55,4.17,4,1.21,1.42,3.27
157,onion,3.91,4.42,4.67,1.14,0.45,0.24
158,orange,4.64,4.75,4.83,0.67,0.2,0.15
159,ostrich,4,3.5,3.08,1.41,1.18,0.99
160,owl,4,4.5,4.25,1.26,0.45,0.39
161,paintbrush,4.36,3.92,3.75,1.21,1.72,1.48
162,pants,3.82,3.5,3.33,0.87,0.45,2.06
163,peach,4.18,4.17,3.33,0.98,1.61,1.52
164,peacock,4,4.36,4.75,1.18,1.05,0.2
165,peanut,4.36,4.08,4.75,1.29,1.9,0.2
166,pear,4.36,4.67,4.83,1.21,0.24,0.15
167,pen,3.18,2.75,3,1.33,1.66,1.64
168,pencil,4.45,4.83,4.58,0.69,0.15,0.63
169,penguin,3.73,4.08,3.75,1.01,0.63,0.93
170,pepper,4.18,4.33,3.83,0.98,0.24,1.61
171,piano,4.18,4.08,3.83,1.25,0.99,1.42
172,pig,4.45,3.92,4.17,0.82,0.81,0.7
173,pineapple,4.73,4.67,4.75,0.65,0.24,0.2
174,pipe,4.18,4.58,4.08,1.25,0.27,0.99
175,pitcher,4.09,3.75,3.67,1.22,1.3,1.52
176,pliers,2.8,2.17,2.42,1.69,2.52,2.27
177,plug,2.18,2.42,2.92,1.47,1.72,2.45
178,pocketbook,2.91,2.92,2.83,1.3,0.99,1.24
179,pot,2.73,2.58,2.5,1.42,1.72,1.73
180,potato,4.45,4.33,4.67,0.52,0.79,1.33
181,pumpkin,4.45,4.67,4,0.93,0.24,1.82
182,rabbit,4.36,4.25,3.83,0.81,0.75,1.42
183,raccoon,3.55,3.25,3.92,1.51,2.02,2.08
184,record player,4,4,3.75,1.18,0.91,1.11
185,refrigerator,3.55,4.17,4.33,1.29,0.33,0.79
186,rhinoceros,4.36,4.58,4.75,1.21,0.27,0.2
187,ring,3.36,3,3.17,1.12,1.45,1.79
188,rocking chair,3.91,4.5,4.33,1.38,0.45,0.42
189,roller skate,2,3.25,3.42,1,2.02,2.08
190,rolling pin,4.82,4.92,4.83,0.4,0.08,0.15
191,rooster,4.64,4.33,3.92,0.81,0.42,0.81
192,ruler,3.73,4,3.67,1.01,0.91,1.33
193,sailboat,3,2.42,3,1.1,1.17,2.36
194,saltshaker,3.91,4,4.33,1.14,0.73,0.79
195,sandwich,2.91,3.5,3.33,1.3,1.36,1.33
196,saw,4,4.33,4.25,1.34,0.97,0.93
197,scissors,4.64,4.42,4.67,0.5,0.63,0.42
198,screw,3.09,4.08,3.75,1.38,0.63,1.11
199,screwdriver,4.55,4.58,4.25,0.52,0.27,0.2
200,sea horse,4.18,4.17,4.75,0.98,2.33,0.39
201,seal,3,3.92,4,1.34,0.81,1.82
202,sheep,3.82,3.25,4.25,1.08,0.93,0.75
203,shirt,3.91,4,3.25,1.38,1.09,0.93
204,shoe,3.82,2.25,3.08,1.33,1.48,2.08
205,skirt,2.45,2.17,2.33,1.04,1.06,1.88
206,skunk,3.82,4.17,4.25,1.33,1.42,1.48
207,sled,3.36,3.33,3.5,1.12,1.15,0.64
208,snail,4.55,4.17,4.08,0.69,0.52,1.17
209,snake,3.45,4.25,3.17,1.04,0.57,1.24
210,snowman,4.18,3.83,4,1.33,1.24,0.55
211,socks,3.55,3.5,3,1.04,1.36,2
212,spider,3.27,2.75,2.83,1.35,1.11,1.24
213,spinning wheel,1.82,2.64,2.33,1.25,2.25,2.61
214,spool of thread,4.36,4.42,3.92,0.81,0.81,1.54
215,spoon,3.91,4,4.58,0.54,0.91,0.45
216,squirrel,4.45,4.42,4.33,1.21,0.27,0.61
217,star,4.09,4.75,4.25,1.38,0.39,0.75
218,stool,4.18,4,4.25,0.75,1.09,0.57
219,stove,3.27,2.92,3.17,1.74,2.27,1.42
220,strawberry,4.36,4.5,4.83,1.03,0.45,0.15
221,suitcase,3.64,3.83,3.42,1.03,0.52,1.17
222,sun,4.27,4.5,4.5,1.01,1,0.45
223,swan,4.45,4.75,4.67,0.93,0.2,0.24
224,sweater,3.09,3.58,3.5,1.14,1.17,2.09
225,swing,3.82,4.33,4.08,1.08,0.42,1.17
226,table,3.45,3.33,3.83,1.69,2.06,1.06
227,telephone,3.09,3.92,3.67,1.51,2.08,2.42
228,television,2.91,3.42,3.25,1.04,1.36,1.84
229,tennis racket,3.91,4.33,4.42,1.58,0.79,0.63
230,thimble,4.91,4.67,4.92,0.3,0.24,0.08
231,thumb,3.91,4.33,3.83,1.22,0.61,1.06
232,tie,4.09,4.42,3.75,0.94,0.99,1.48
233,tiger,3.91,4.42,4.17,1.38,0.45,0.52
234,toaster,4.27,3.75,4.25,1.19,1.48,0.75
235,toe,3.64,4.25,3.75,1.03,0.57,1.3
236,tomato,4.27,4.5,4.58,1.42,0.27,0.81
237,toothbrush,4.36,3.58,3.83,0.67,0.99,0.88
238,top,3.64,3.33,3,1.03,1.15,2
239,traffic lights,4,3.58,4.17,0.77,1.17,0.88
240,train,3.18,3.25,3.17,1.17,1.11,1.06
241,tree,3.09,4,3.92,1.38,0.91,0.99
242,truck,3.27,3.5,3.17,1.1,1.36,1.24
243,trumpet,4.36,4.67,4.83,0.67,0.24,0.15
244,turtle,4.45,4.75,4,0.69,0.2,0.55
245,umbrella,4.27,4.42,3.75,0.65,0.45,0.93
246,vase,3,2.58,2.58,1.48,0.99,2.99
247,vest,1.91,1.83,2,1.22,1.97,1.27
248,violin,4.55,4.42,4.75,0.69,0.45,0.2
249,wagon,1.64,1.75,1.92,1.03,1.48,0.81
250,watch,3.45,2.92,3.42,1.13,1.17,1.17
251,watering can,4.09,3.92,4,0.94,0.63,0.55
252,watermelon,3.82,4,3.83,1.08,1.09,0.88
253,well,3.91,4.17,4.08,1.3,0.52,0.99
254,wheel,2.73,3.25,3.08,1.56,2.75,2.63
255,whistle,4.27,4.58,4.17,0.9,0.27,1.42
256,windmill,3.27,4.17,3.58,1.19,1.06,0.99
257,window,2.09,2.08,2.58,0.94,0.81,2.63
258,wine glass,4.27,3.92,4.17,0.9,0.81,0.88
259,wrench,2.1,1.5,1.83,1.52,1.36,1.97
260,zebra,4.55,4.92,5,0.93,0.08,0
